nombre,latitud,longitud,comuna,fecha apertura,operativo
Pinatolca,-26.0446954,-74.04301221,Los Álamos,18-04-1951,1
Cohen & Steers Reit and Preferred Income Fund Inc,-23.51683606,-72.25654139,Punitaqui,08-05-1969,1
B.O.S. Better Online Solutions,-15.80399679,-70.97515952,Taltal,12-08-1962,1
Hamilton Lane Incorporated,-47.66448994,-73.42405483,Alto Biobío,23-03-1950,1
ENGlobal Corporation,-45.98702795,-71.43452191,Calama,12-02-1952,1
Incyte Corporation,-38.30897238,-71.8913141,Caldera,24-12-2002,1
"Westbury Bancorp, Inc.",-23.06057125,-71.79959903,Huasco,14-12-2014,1
"HD Supply Holdings, Inc.",-48.87088641,-69.69011616,Mejillones,07-01-2000,1
BRF S.A.,-17.40821544,-73.88095802,Talagante,04-08-1951,1
Zaldívar,-33.73365319,-70.20110685,Taltal,19-09-1958,1
"Aspen Technology, Inc.",-21.55807674,-68.4005989,Antofagasta,04-03-2014,1
"Entergy Louisiana, Inc.",-26.16436623,-70.02406051,Copiapó,19-04-2016,1
Independence Holding Company,-39.39264851,-70.93554426,San Pedro de Atacama,12-06-1987,1
"Midland States Bancorp, Inc.",-34.33874333,-70.15395928,Taltal,10-01-1998,1
Patriot National Bancorp Inc.,-53.41162037,-69.57491598,Tocopilla,11-11-1974,1
Talcuna,-38.66487599,-73.03103802,Paiguano,19-08-1961,1
"Blackhawk Network Holdings, Inc.",-45.02246855,-75.49329275,Punta Arenas,02-08-1978,1
Natl Westminster Pfd,-36.51659763,-73.05176744,Cabo de Hornos,21-12-1963,1
"AMC Entertainment Holdings, Inc.",-32.15450946,-71.67009816,Tierra Amarilla,17-10-2001,1
Salesforce.com Inc,-49.80974272,-73.15258443,Primavera,03-08-1976,1
"Ocular Therapeutix, Inc.",-18.20712344,-70.24368891,Huasco,30-06-1972,1
"Hawkins, Inc.",-18.95193054,-70.32171306,Chañaral,06-10-1987,1
Colico Sur,-52.94103,-73.93599634,Tucapel,28-11-1987,1
El Peñón,-24.07753673,-71.66921793,Tocopilla,06-07-1994,1
CoreSite Realty Corporation,-17.62297702,-73.80370682,Porvenir,23-06-1963,1
Western Alliance Bancorporation,-46.43216631,-70.49138637,Mejillones,29-09-1993,1
Alliance National Municipal Income Fund Inc,-49.06597315,-68.1586654,Camiña,09-11-1967,1
iShares 20+ Year Treasury Bond ETF,-51.14222733,-70.51192856,Tierra Amarilla,10-05-1990,1
Envision Healthcare Corporation,-32.25602205,-73.70938746,Río Hurtado,19-11-1974,1
SQM - Pampa Blanca,-54.76566051,-70.09450066,Tocopilla,11-10-1996,1
Lomas Bayas,-40.93401642,-70.91297411,San Pedro de Atacama,06-05-1954,1
"FairPoint Communications, Inc.",-51.34889643,-71.7560449,Andacollo,30-12-1992,1
Arlington Asset Investment Corp,-52.1926009,-70.02288822,Ollagüe,25-08-1997,1
Andina,-24.32664962,-73.57833754,Villa Alemana,22-07-1961,1
Celite - Carol,-45.99004483,-69.84882794,Camarones,22-05-2001,1
Tekla Healthcare Opportunies Fund,-32.62408895,-69.7066942,Tierra Amarilla,28-12-2008,1
American Homes 4 Rent,-36.60213838,-69.67858338,Calama,12-09-1963,1
"support.com, Inc.",-43.05898659,-68.61561527,Alto Hospicio,01-11-2000,1
Nuveen Floating Rate Income Fund,-16.75485413,-71.16848181,Vallenar,12-07-1966,1
"Hurco Companies, Inc.",-53.75776763,-71.28707576,Copiapó,03-01-2001,1
"Littelfuse, Inc.",-38.5166006,-71.30822182,Salamanca,05-12-1969,1
Kraton Corporation,-46.75479779,-71.15166944,Ollagüe,19-06-1989,1
Applied DNA Sciences Inc,-39.91924724,-73.30630723,Canela,08-12-1963,1
Blackstone GSO Long Short Credit Income Fund,-53.59601847,-74.48174488,Puchuncaví,27-01-1984,1
"Chegg, Inc.",-40.36010157,-72.97417772,Casablanca,04-01-2015,1
"Vectrus, Inc.",-49.70049363,-68.28510012,Camiña,19-09-1958,1
Yahoo! Inc.,-50.86661529,-70.95263054,Ollagüe,11-01-1961,1
CVS Health Corporation,-50.66032276,-69.03531431,Pozo Almonte,08-08-1960,1
"Commerce Bancshares, Inc.",-47.76020288,-70.15008743,María Elena,20-04-2016,1
"Sarepta Therapeutics, Inc.",-29.27055799,-70.38725328,Freirina,07-01-1976,1
Romeral,-17.70796623,-73.70450394,Talagante,18-05-1973,1
Texas Pacific Land Trust,-35.32999827,-72.00211361,María Elena,18-04-1961,1
Esterline Technologies Corporation,-37.71621836,-72.31495104,Caldera,15-03-1984,1
Silicon Motion Technology Corporation,-32.76764967,-71.47415533,Sierra Gorda,17-11-2010,1
Ceragon Networks Ltd.,-39.56394284,-69.75223962,Caldera,16-05-1987,1
"MiMedx Group, Inc",-51.55577341,-68.68117893,Pozo Almonte,22-07-1954,1
La Pepa,-51.95141748,-71.22207609,Tierra Amarilla,21-07-2006,1
Jerónimo,-31.77103906,-71.45606195,Tierra Amarilla,09-01-1976,1
Sierra Gorda,-29.9037532,-69.20477898,San Pedro de Atacama,16-09-1985,1
"Waste Management, Inc.",-38.91178905,-71.73239195,Curanilahue,28-11-1997,1
Andes Travertine,-19.09271584,-69.47178711,Tocopilla,31-10-1992,1
Eagle Bulk Shipping Inc.,-39.69256421,-73.14064804,Canela,17-11-1987,1
SQM - Nueva Victoria,-54.73005883,-70.54483001,Alto Hospicio,21-08-1993,1
"Dupont Fabros Technology, Inc.",-24.76562075,-73.72311695,Villa Alemana,02-04-1991,1
Brookfield Global Listed Infrastructure Income Fund,-54.90481689,-72.99829869,Vicuña,06-05-2013,1
"Impax Laboratories, Inc.",-48.59547852,-73.78895577,Alto Biobío,04-08-2004,1
"Everspin Technologies, Inc.",-39.18346766,-67.82215525,Arica,28-06-1994,1
Ministro Hales,-20.18310356,-69.91162467,Calama,27-04-1980,1
SQM - Yumbes,-46.80526688,-71.17699473,Mejillones,11-08-1978,1
Nabriva Therapeutics AG,-44.5237386,-73.67953291,San Rosendo,02-03-1986,1
"OraSure Technologies, Inc.",-22.99538727,-69.27296898,Iquique,22-03-1966,1
Radomiro Tomic,-33.39540661,-70.61147918,Sierra Gorda,27-10-1981,1
PrimeEnergy Corporation,-51.91507329,-70.82429759,Freirina,05-07-1966,1
TICC Capital Corp.,-46.65052586,-69.74814838,Mejillones,31-05-1956,1
"Pinnacle Financial Partners, Inc.",-32.01134156,-69.05264329,Huara,02-11-1980,1
"HCA Healthcare, Inc.",-43.29197132,-71.95914899,Antofagasta,30-08-1965,1
Kopin Corporation,-50.06681348,-71.288365,Alto del Carmen,24-12-1978,1
"Commercial Vehicle Group, Inc.",-35.62259333,-71.60991232,María Elena,08-05-1991,1
Can Can,-49.83601833,-71.12592996,Alto del Carmen,10-04-2016,1
"The Travelers Companies, Inc.",-29.38267045,-70.83420453,Freirina,06-11-1980,1
BlackRock Municipal Target Term Trust Inc. (The),-39.21827739,-71.02138421,San Pedro de Atacama,31-03-1955,1
Quebrada Blanca,-50.57327772,-68.91799663,Pozo Almonte,17-01-1987,1
CMP - Cerro Negro Norte,-30.27265127,-71.39812945,Freirina,26-09-1961,1
Nuveen Energy MLP Total Return Fund,-52.81861719,-74.37026443,Puchuncaví,16-02-1972,1
Global Partner Acquisition Corp.,-50.89461916,-70.77945522,Colchane,06-02-2009,1
3M Company,-47.32142188,-72.89968237,El Monte,05-05-1950,1
La Productora,-45.92687329,-71.44643519,Diego de Almagro,26-12-2018,1
Cerro Imán,-39.91479342,-70.71904433,Caldera,12-08-1960,1
SQM - María Elena,-30.72064609,-69.19189683,Ollagüe,08-02-1961,1
"Biocept, Inc.",-34.82049098,-73.76922988,Timaukel,13-08-1994,1
Cummins Inc.,-29.09117012,-68.89030305,San Pedro de Atacama,01-05-1956,1
"Arista Networks, Inc.",-47.95224885,-72.625789,Vallenar,24-09-1972,1
"ILG, Inc",-42.40115957,-69.27629579,San Pedro de Atacama,24-04-1983,1
Lambert,-52.85135542,-71.64256207,Andacollo,05-07-1960,1
Caleta El Cobre,-35.86420182,-70.51754931,Calama,01-02-1984,1
Fertón,-47.48875104,-72.10622211,El Monte,03-06-1955,1
Moog Inc.,-18.50708785,-70.02931389,Huasco,28-11-1967,1
"LM Funding America, Inc.",-37.42139201,-74.82919835,Río Bueno,14-11-1954,1
"PrivateBancorp, Inc.",-34.02539502,-69.21071103,Sierra Gorda,05-09-1981,1
Coirón,-22.98723402,-73.14125365,Río Verde,05-10-1985,1
Microsemi Corporation,-50.65226007,-72.76420235,Laguna Blanca,17-03-1989,1
Zion Oil & Gas Inc,-34.75875536,-71.91521087,Illapel,22-12-1972,1
"Western Refining Logistics, LP",-49.9530586,-73.42275068,San Pedro,20-03-1966,1
"Sierra Oncology, Inc.",-42.85190241,-71.80551464,Antofagasta,22-08-1994,1
Dos Amigos,-54.30040972,-71.1931064,Freirina,01-08-1973,1
Abeona Therapeutics Inc.,-46.7224442,-70.81052512,Calama,18-02-1969,1
Merus Labs International Inc.,-24.61575569,-72.93952133,Tocopilla,05-10-1976,1
First Trust Multi-Asset Diversified Income Index Fund,-54.29723561,-70.04511056,Tocopilla,07-04-2007,1
Imax Corporation,-53.1657583,-71.94698392,Freirina,01-08-1968,1
"H&R Block, Inc.",-30.42590561,-68.63653997,Taltal,11-06-1986,1
Northrop Grumman Corporation,-36.6766771,-73.89200318,Concón,16-04-1951,1
Diana Shipping inc.,-45.48591239,-70.96372918,Camarones,25-02-2010,1
"Spark Energy, Inc.",-18.22174509,-69.20838488,Pozo Almonte,01-07-1987,1
