número,nombre
44829-14294-KE,Entegra Financial Corp.
19917-72713-BK,Diageo plc
69202-76280-JA,PureFunds ETFx HealthTech ETF
14541-66214-HM,AdvisorShares Market Adaptive Unconstrained Income ETF
88276-1434-JJ,Maganeso III de Atacama
79024-83530-OB,Arch Capital Group Ltd.
93437-21358-DK,Victoria
51058-61235-BH,Kamada Ltd.
23851-99106-BE,First Trust International Multi-Asset Diversified Income Index
41754-55652-GB,Inseego Corp.
13348-30822-FI,Patriot National Bancorp Inc.
23438-67089-II,"Urban One, Inc. "
6786-62925-HD,"Avon Products, Inc."
79439-19144-EM,Coirón
41026-42781-FB,"Safe Bulkers, Inc"
55366-36488-JE,La Pepa
81936-67469-KH,Punta de Lobos - Kanita
11621-68101-AI,Inseego Corp.
96461-31283-OB,Cordillera - Tenardita
45575-81907-OK,Cóndor
90229-82791-MN,Lions Gate Entertainment Corporation
42553-86090-DE,SQM - Mapocho
49009-61907-JH,"Hawkins, Inc."
32496-60271-KK,"Waste Management, Inc."
61084-39048-DO,Orbotech Ltd.
41471-17693-BE,Laguna Siren
82498-20366-GM,Guanaco
95270-49877-GK,"Sarepta Therapeutics, Inc."
27929-80369-BH,"Meridian Waste Solutions, Inc"
45227-89551-AF,Torchmark Corporation
95570-27431-FG,"Diamond Hill Investment Group, Inc."
91324-94384-NF,Tekla Healthcare Opportunies Fund
37206-76340-BD,Caleta El Cobre
90691-33656-MB,"FairPoint Communications, Inc."
77839-75099-IO,Yelp Inc.
88256-6954-AF,CVS Health Corporation
65556-88898-NM,Punitaqui
69631-76141-AJ,"CatchMark Timber Trust, Inc."
8531-6384-ND,"Avon Products, Inc."
69027-93693-FH,Schwager
38849-12024-OJ,Walter Investment Management Corp.
81841-37782-OF,"Rush Enterprises, Inc."
98285-41952-NI,"Portola Pharmaceuticals, Inc."
47878-99485-NO,Chimberos
74599-2295-BB,El Soldado
74265-23628-NO,Anheuser-Busch Inbev SA
84617-19804-AD,United States Cellular Corporation
69476-59653-DF,"UMH Properties, Inc."
66925-14097-HA,Tuina
94205-35211-EF,"Universal Stainless & Alloy Products, Inc."
75958-71206-KK,SQM - Pedro de Valdivia
86373-85332-KF,American Homes 4 Rent
30002-29389-BG,West Corporation
73631-19149-GO,Novanta Inc.
41116-59137-BB,Dorado
55853-1046-GN,"Financial Engines, Inc."
68785-5716-KI,"Universal Stainless & Alloy Products, Inc."
68374-74086-BH,"Urban One, Inc. "
22251-52717-OJ,"Gabelli Equity Trust, Inc. (The)"
65314-14447-MF,Cordillera - Tenardita
62264-31855-KA,CoreSite Realty Corporation
85538-95593-MB,STMicroelectronics N.V.
38091-62631-BM,"Taiwan Fund, Inc. (The)"
32310-14981-NN,Lenga
54271-18503-EE,"CenterPoint Energy, Inc."
45751-20431-JI,El Tofo
80843-52401-HI,El Guindo
65127-36409-DA,Orbotech Ltd.
25688-44365-HO,"PDF Solutions, Inc."
73788-14980-MB,Cosayach - Soledad
54849-41722-BK,The Community Financial Corporation
99923-40098-AL,La Marcelina
28161-40687-LM,"Waste Management, Inc."
71217-15902-BN,CMP - Algarrobo
69082-67728-JG,Biglari Holdings Inc.
59574-80935-LM,"Safe Bulkers, Inc"
74336-9753-HB,Nabriva Therapeutics AG
36507-12394-JM,"Sierra Oncology, Inc."
59164-88100-JG,"Cyclacel Pharmaceuticals, Inc."
52986-40080-MH,Special Opportunities Fund Inc.
85011-20398-BF,Choquelimpie
35192-65703-DG,"XO Group, Inc."
5475-45787-ML,Pupunahue
4418-12481-KK,Las Cenizas
13621-3110-JB,"Dupont Fabros Technology, Inc."
61688-98303-LB,KT Corporation
4215-25626-KD,PureFunds ETFx HealthTech ETF
56098-96650-AK,"Kayne Anderson Energy Total Return Fund, Inc."
75369-28202-OG,AmerisourceBergen Corporation (Holding Co)
59648-22381-EB,Mantos Blancos
52786-48827-BA,"Impax Laboratories, Inc."
34857-31408-GB,Zion Oil & Gas Inc
65228-70988-GH,"Sarepta Therapeutics, Inc."
52898-28107-KO,"Cyclacel Pharmaceuticals, Inc."
83975-39040-IB,Quiborax
680-72471-GH,Salesforce.com Inc
59481-18690-AL,Chimberos
31024-78144-NI,"Cyclacel Pharmaceuticals, Inc."
98800-52234-BJ,Gilat Satellite Networks Ltd.
91140-72233-DA,"SolarEdge Technologies, Inc."
52011-96340-MG,Vina Concha Y Toro
41840-60340-LL,"MiMedx Group, Inc"
63595-34486-MM,"Entergy Louisiana, Inc."
74553-25376-MJ,"UMH Properties, Inc."
6458-71257-HA,CMP - Romeral
14177-97159-LF,"Impax Laboratories, Inc."
95239-17747-AD,"Rush Enterprises, Inc."
97976-53177-ID,R.R. Donnelley & Sons Company
1252-45408-GF,Pucobre
34954-59853-JK,"Mirna Therapeutics, Inc."
37433-28984-LL,"Texas Capital Bancshares, Inc."
40865-60471-JO,Silicon Motion Technology Corporation
28413-45610-JN,Gilat Satellite Networks Ltd.
91124-81118-KI,Data Processing
50279-79115-OJ,Drive Shack Inc.
48041-8646-DN,Sierra Gorda
92961-14227-LO,AmerisourceBergen Corporation (Holding Co)
42814-54193-KN,"The Chefs' Warehouse, Inc."
78505-8365-IB,"The Chefs' Warehouse, Inc."
98796-75200-HE,Fertón
57749-97690-IH,TICC Capital Corp.
2251-81467-MB,Pullalli
13109-78492-FI,American Homes 4 Rent
91615-43159-IA,Peckett
42737-19267-OL,Punta de Lobos - Kanita
31287-51905-HI,Navío
45606-60374-AN,Lions Gate Entertainment Corporation
50587-70097-GN,Texas Pacific Land Trust
7852-43938-LD,First Trust International Multi-Asset Diversified Income Index
20579-24236-BH,Caupolicán
17949-87819-IL,Comcast Corporation
66966-8766-EA,"Chunghwa Telecom Co., Ltd."
52344-60159-OH,Applied DNA Sciences Inc
58487-77482-KN,AbbVie Inc.
38381-27114-DG,"Ashford Hospitality Prime, Inc."
22920-86541-BJ,"Nustar GP Holdings, LLC"
19591-56371-KD,Nuveen Floating Rate Income Fund
17205-22320-AA,Julia
10755-7631-AF,Arch Capital Group Ltd.
23993-51243-HM,Cerro Imán
8378-46509-EA,San Gerónimo
4678-73855-LA,Array BioPharma Inc.
11610-70076-NE,Nuveen AMT-Free Municipal Value Fund
84497-10490-NA,West Corporation
86008-67166-ON,El Tesoro
55482-47984-GA,Nabriva Therapeutics AG
55732-24352-FJ,"Blackhawk Network Holdings, Inc."
38136-39100-EO,Don Alberto
64552-58955-AG,El Salvador
79096-62572-GE,"Franklin Financial Network, Inc."
30859-88289-IE,Trongol
99809-55542-DN,Cerro Bayo
82540-12265-OG,"Pepsico, Inc."
11199-26501-ED,Celite - Tana
74374-517-EE,Sierra Gorda
67348-91576-MK,Nabriva Therapeutics AG
62272-33771-BF,Imax Corporation
28246-71186-KB,E*TRADE Financial Corporation
62171-36663-NH,CMP - El Laco
59179-40864-LN,"Westbury Bancorp, Inc."
96489-93414-ME,Arlington Asset Investment Corp
78783-66827-AJ,First Trust South Korea AlphaDEX Fund
94335-19792-LB,"Spark Energy, Inc."
3122-14366-AA,Aircastle Limited
99368-16740-LB,"Gabelli Equity Trust, Inc. (The)"
33190-65496-MD,Andacollo Cobre
33617-61757-ON,Caleta El Cobre
34909-31569-BN,"Taiwan Fund, Inc. (The)"
15561-96088-NE,Laguna Siren
50875-12651-AL,III de Atacama Minerals - Aguas Blancas
62611-59143-HB,Stamps.com Inc.
38118-68522-DM,China Mobile (Hong Kong) Ltd.
25130-569-AL,"Appliance Recycling Centers of America, Inc."
95852-62409-EB,Old Republic International Corporation
32086-34042-JH,"Recon Technology, Ltd."
3206-64713-OI,First Trust Senior Loan Fund ETF
73081-31951-LK,"CenterPoint Energy, Inc."
80147-63822-OA,Kite Realty Group Trust
32245-13397-FD,"Silicon Laboratories, Inc."
77864-1143-AB,Collahuasi
23278-94373-LE,La Coipa
63068-72699-NO,Caleta El Cobre
34049-57748-GH,Michilla
51779-67226-DE,Nuveen Connecticut Quality Municipal Income Fund
77411-46283-BN,Global Partner Acquisition Corp.
39513-70807-MO,B.O.S. Better Online Solutions
99284-24443-AG,Dynatronics Corporation
14039-72710-MN,Sierra Miranda
91843-98509-HF,Limoneira Co
75711-25264-BH,Kamada Ltd.
83254-82253-BK,Jerónimo
50035-35742-GE,Tuina
52070-51408-LI,Old Republic International Corporation
52511-28262-BE,Voya Global Equity Dividend and Premium Opportunity Fund
6772-18371-OG,Container Store (The)
40857-16593-FD,Marine Petroleum Trust
89645-78141-JJ,San Gerónimo
78882-24811-LF,"Sportsman's Warehouse Holdings, Inc."
79136-39895-LG,"The Chefs' Warehouse, Inc."
82570-79993-KF,Ministro Hales
95134-25711-HE,Las Cenizas
70985-73892-AO,Azul S.A.
85213-65046-HA,Westpac Banking Corporation
10268-62953-MH,Refugio
9038-93930-GF,Terreno Realty Corporation
85752-28628-NH,"Aspen Technology, Inc."
94815-52925-DB,"FairPoint Communications, Inc."
54758-5256-MJ,Nuveen Floating Rate Income Fund
59643-70077-MI,Virco Manufacturing Corporation
37698-49227-DO,Galectin Therapeutics Inc.
92623-69560-GJ,SAP SE
12553-95874-GJ,Laguna Siren
18937-50571-AN,Pampa Camarones
24734-93179-LL,"Delcath Systems, Inc."
684-13048-MO,Western Alliance Bancorporation
96044-24934-GD,Peabody Energy Corporation
19913-2448-EO,Unisys Corporation
89742-10685-EI,Pampa Camarones
40972-20684-HF,NVIDIA Corporation
90984-22917-EK,First Trust Nasdaq Retail ETF
25536-15518-NL,Tres Valles
30398-24142-KI,Nuveen AMT-Free Municipal Value Fund
67351-16662-BB,Punta de Lobos - Kanita
8046-62235-OK,Inacesa - El Jilguero
41708-71135-LL,Manantial
25787-4331-HI,Nabriva Therapeutics AG
99675-51811-DL,Alliance National Municipal Income Fund Inc
68296-27138-DM,Aircastle Limited
70367-40061-BD,Pupunahue
83823-97947-GK,El Toqui
64531-93776-FG,First Trust South Korea AlphaDEX Fund
8429-41572-IM,United States Cellular Corporation
19456-23585-KL,"XO Group, Inc."
14883-30458-IN,ENGlobal Corporation
74668-9395-DH,Cambrex Corporation
34155-6294-LH,"Taiwan Fund, Inc. (The)"
81766-81441-KB,"China Lodging Group, Limited"
83599-3750-LH,Moog Inc.
71644-44239-MA,Park-Ohio Holdings Corp.
38707-83771-HN,CMP - Cerro Negro Norte
2074-82358-GJ,PIMCO Dynamic Credit and Mortgage Income Fund
70568-36928-DF,Algorta
37197-99478-EB,CoreSite Realty Corporation
38586-28245-DB,EPR Properties
48907-47756-HE,Iván
7501-68886-AG,Celgene Corporation
43648-7230-BI,Cerro Imán
43066-64983-MA,Fertón
11081-31784-KJ,"Sportsman's Warehouse Holdings, Inc."
292-72165-BO,Pirquitas
7744-89175-EN,Las Piedras
69858-80187-JH,Talcuna
72821-13534-HG,Elenita
69954-74451-HL,"Commerce Bancshares, Inc."
92171-69193-JG,First Trust South Korea AlphaDEX Fund
79083-92642-FE,Montecristo
71398-7005-JH,"Midland States Bancorp, Inc."
80923-20719-KI,Hamilton Lane Incorporated
58275-41169-IB,Biglari Holdings Inc.
16751-62885-HB,Costamare Inc.
28218-85066-GN,"Kura Oncology, Inc."
52597-71532-BF,Mantos de la Luna
84865-5644-DK,"Sarepta Therapeutics, Inc."
58585-97640-KD,Coirón
65306-36391-KK,Old Republic International Corporation
21919-38321-KM,Diageo plc
87996-76045-BO,"Entergy Louisiana, Inc."
7130-56476-DB,"First Hawaiian, Inc."
72833-72537-IF,"HD Supply Holdings, Inc."
36169-6662-FO,First Trust Emerging Markets Small Cap AlphaDEX Fund
14641-2236-JB,Inacesa - El Jilguero
61800-35177-KG,Global Partner Acquisition Corp.
962-46286-DF,"China Lodging Group, Limited"
86389-88835-DB,SQM - Pampa Blanca
91409-69906-MB,Sierra Miranda
5374-62254-HO,Unisys Corporation
16333-48357-FO,E*TRADE Financial Corporation
75073-63850-OL,Torchmark Corporation
17309-73432-EF,Cerro Blanco
51433-38312-HF,"Spark Energy, Inc."
73821-59050-AF,TICC Capital Corp.
78521-20235-GN,Lota
26147-84071-EB,Andacollo Cobre
42075-55074-AK,Cosayach - Cala Cala
17131-82458-KH,"Hawkins, Inc."
51305-75453-DK,Microsemi Corporation
41775-17723-DO,Inacesa - El Jilguero
79275-73286-JH,ENGlobal Corporation
99858-22281-DE,Alhué
33955-19928-FL,Escondida
38111-68141-NG,Texas Pacific Land Trust
82142-56437-JA,Peapack-Gladstone Financial Corporation
47354-8048-BE,U.S. Energy Corp.
23419-18601-JB,La Productora
54508-76886-OB,El Toqui
61849-44296-HE,Antucoya
22826-66799-DO,"Ocular Therapeutix, Inc."
65786-66103-GO,AGCO Corporation
17274-57335-IK,Cerro Imán
86756-26280-EL,Cosayach - Soledad
40420-62212-KD,Voya Global Equity Dividend and Premium Opportunity Fund
58415-69721-MG,Mackinac Financial Corporation
56410-30837-AA,Cerro Casale
45641-41930-EJ,Linderos
31436-48911-LB,"First Financial Bankshares, Inc."
95408-12425-KA,Park-Ohio Holdings Corp.
95696-12648-BJ,Blackstone GSO Long Short Credit Income Fund
1513-42913-FB,Punta de Lobos - Kanita
68681-36728-OJ,"Gabelli Equity Trust, Inc. (The)"
90765-70650-OB,La Pepa
88559-59778-BK,SQM - Yumbes
85538-26726-HH,Chuquicamata
60728-79007-LN,Bright Scholar Education Holdings Limited
84909-75835-JJ,"Pinnacle Financial Partners, Inc."
51227-93100-MG,Dynatronics Corporation
85632-72149-IH,Las Cenizas
86981-58777-HH,Pucobre
91409-53392-IM,L.B. Foster Company
45324-96201-FL,Julia
27097-33337-NB,Carvana Co.
33868-9222-AG,Don Alberto
48106-93999-KN,"Rush Enterprises, Inc."
87142-22280-BA,E.I. du Pont de Nemours and Company
6347-40547-DD,Incyte Corporation
14627-22134-OG,E.I. du Pont de Nemours and Company
81496-96093-JL,Toll Brothers Inc.
13109-53036-MH,"MiMedx Group, Inc"
47298-63255-FE,Marine Petroleum Trust
9382-97261-BB,Eagle Bulk Shipping Inc.
4500-86350-EB,Ceragon Networks Ltd.
37595-38502-LB,Cosayach - Soledad
57869-33603-JB,Arlington Asset Investment Corp
64128-53890-IL,Brookfield Global Listed Infrastructure Income Fund
42005-95876-LD,Voya Global Equity Dividend and Premium Opportunity Fund
97751-62756-KJ,"India Fund, Inc. (The)"
72116-81266-MK,Ministro Hales
28832-3241-DN,Central Garden & Pet Company
47416-8849-LB,"Adams Diversified Equity Fund, Inc."
60341-92082-EL,Westpac Banking Corporation
78232-7712-AF,Cosayach - Soledad
55983-21119-EK,"Franklin Financial Network, Inc."
52386-83603-IG,The9 Limited
58703-39413-HH,Schwager
49503-17058-NK,The9 Limited
35983-19709-LF,3M Company
24427-28095-AG,PowerShares Nasdaq Internet Portfolio
42967-77677-DG,Sierra Miranda
86646-4853-MI,West Corporation
20547-57278-HL,"Kayne Anderson Energy Total Return Fund, Inc."
19761-24008-KM,"Kura Oncology, Inc."
16246-62010-FJ,Isla Guarello
59690-65692-II,Quiborax
1648-1198-GB,Old Republic International Corporation
75670-87742-EL,Gladstone Commercial Corporation
55141-68898-IA,"Zynerba Pharmaceuticals, Inc."
39528-9325-GM,CMP - Romeral
39320-36316-BB,E.I. du Pont de Nemours and Company
86062-15595-LK,"OraSure Technologies, Inc."
91304-53445-HJ,Coirón
37170-76398-BD,Las Arenitas
23402-76623-AG,Nuveen AMT-Free Municipal Value Fund
50798-84123-DO,Forum Merger Corporation
73045-81729-JE,Elenita
95317-89943-AE,Royal Caribbean Cruises Ltd.
99360-92050-JB,Toll Brothers Inc.
9630-20776-OB,Randgold Resources Limited
54746-40634-BN,Peabody Energy Corporation
60328-2414-NB,PTC Inc.
65388-41376-LD,Cerro Colorado
21759-65840-JA,"Kayne Anderson Energy Total Return Fund, Inc."
45243-96024-GK,Inacesa - El Jilguero
68689-5577-BL,SQM - Mapocho
44269-85647-MN,"H&R Block, Inc."
73148-15827-EM,El Morro
54106-69884-IA,Julia
36484-69267-MB,Cosayach - Negreiros
55551-61073-IH,"Dupont Fabros Technology, Inc."
38785-93982-BD,Great Elm Capital Corp.
93286-2932-BH,Choquelimpie
6567-68828-JD,El Guindo
38612-82330-BG,Dos Amigos
23621-99510-DJ,"Hub Group, Inc."
67596-21722-BB,Nuveen Michigan Quality Municipal Income Fund
6613-16739-HE,Galectin Therapeutics Inc.
91810-24620-NE,"Idera Pharmaceuticals, Inc."
14196-12603-BH,San José
73157-55464-FL,El Morro
85784-71407-LK,Great Plains Energy Inc
52374-36922-GF,First Trust Senior Loan Fund ETF
2483-84980-BO,"Apple Hospitality REIT, Inc."
72486-95820-BB,Tekla Healthcare Opportunies Fund
84136-25595-HB,Carvana Co.
36505-72882-DJ,Las Pataguas
73682-51566-KB,China Cord Blood Corporation
29391-3821-BN,Don Alberto
15087-65335-MA,Independence Holding Company
91599-15079-LO,Gilat Satellite Networks Ltd.
2136-93739-IH,El Soldado
59133-36579-ON,Altamira
56640-42953-JN,"Hawkins, Inc."
65495-35709-AH,"The Travelers Companies, Inc."
13853-72929-NF,Tata Motors Ltd
33037-99642-DB,"CatchMark Timber Trust, Inc."
89862-13215-LB,SAP SE
96968-26423-HB,Inacesa - El Way
79973-70338-BM,"Silicon Laboratories, Inc."
82411-25747-II,Altamira
37484-13953-BE,"FSB Bancorp, Inc."
24905-76131-HK,China Cord Blood Corporation
41091-719-KE,Aircastle Limited
80410-42880-II,Esperanza
86193-41773-LB,TICC Capital Corp.
90075-14182-HB,"Argos Therapeutics, Inc."
5167-85595-HN,Collahuasi
57161-66195-KA,Caserones
78546-24084-KA,"H&R Block, Inc."
64821-78771-EK,Unisys Corporation
68830-32308-GM,La Pepa
74862-82392-MO,Altamira
83463-46321-BK,"India Fund, Inc. (The)"
36272-27778-BG,"OraSure Technologies, Inc."
65243-44203-ML,"FTI Consulting, Inc."
66647-6125-FK,"Western Refining Logistics, LP"
96864-66010-JE,La Pepa
14410-23669-LL,La Perla
48270-49099-NM,Michilla
95250-57246-OI,Merus Labs International Inc.
22412-53930-II,Tata Motors Ltd
81720-71921-IB,"The Chefs' Warehouse, Inc."
64293-80649-BE,"Enanta Pharmaceuticals, Inc."
84534-3019-BO,Janus Henderson Small Cap Growth Alpha ETF
32572-65436-LF,"First Financial Bankshares, Inc."
65590-68466-MN,El Toqui
96618-78297-IG,Punitaqui
23599-64793-DI,"Nustar GP Holdings, LLC"
88823-39000-EH,Delta
17103-41020-KB,R.R. Donnelley & Sons Company
15711-67452-DJ,"FTI Consulting, Inc."
48047-70234-EA,Peabody Energy Corporation
64537-56642-EL,Moog Inc.
97063-87133-BB,First Trust Multi-Asset Diversified Income Index Fund
83391-28694-OM,HollyFrontier Corporation
22547-94463-EH,La Picarda
84259-92276-FL,Andacollo Oro
42777-44648-OH,Andina
3566-86083-IF,GlaxoSmithKline PLC
13081-1112-AB,Cosayach - Soledad
44903-45675-EG,First Trust Multi-Asset Diversified Income Index Fund
2867-85653-IF,"Commerce Bancshares, Inc."
22531-61648-LK,"Sarepta Therapeutics, Inc."
51925-99534-JH,"Avon Products, Inc."
56286-14243-MI,Celgene Corporation
74505-22939-LI,El Tofo
32546-3109-DB,Pirquitas
54371-2339-AJ,SQM Salar
44073-41524-GD,BLDRS Asia 50 ADR Index Fund
84893-56698-KA,"Chegg, Inc."
59767-27590-DF,Esperanza
96776-44691-KA,Array BioPharma Inc.
21723-32368-NB,III de Atacama Minerals - Aguas Blancas
10573-62983-AN,III de Atacama Minerals - Aguas Blancas
68330-42381-EI,Cóndor
17192-29514-JI,Manantial
54108-87569-GN,Great Plains Energy Inc
69175-27649-NN,Mantos Blancos
90779-10369-BN,"Commerce Bancshares, Inc."
26458-68210-KO,Franke
53816-62406-JO,Nabriva Therapeutics AG
1550-14160-BB,AmerisourceBergen Corporation (Holding Co)
73810-3326-OD,Navío
53870-37322-KM,"Entergy Louisiana, Inc."
27481-613-FJ,Guaranty Bancorp
20017-95521-OM,"JA Solar Holdings, Co., Ltd."
37079-73528-FB,"OraSure Technologies, Inc."
2370-84273-ML,"HD Supply Holdings, Inc."
47719-23991-BG,Las Arenitas
96096-94953-DA,Tekla Healthcare Opportunies Fund
63846-57622-EB,First Trust Emerging Markets Small Cap AlphaDEX Fund
47014-91181-IA,"Cogentix Medical, Inc."
31688-94042-NM,Dos Amigos
11429-22300-AN,"Pepsico, Inc."
25128-71258-HO,"Rush Enterprises, Inc."
42478-75675-JB,Mackinac Financial Corporation
91471-29997-OF,"Aspen Technology, Inc."
66559-17879-FD,Moog Inc.
82669-48182-JB,"Kayne Anderson Energy Total Return Fund, Inc."
9166-58700-GB,"H&R Block, Inc."
90566-73145-GJ,"Ashford Hospitality Prime, Inc."
93899-10244-FO,Andacollo Cobre
63670-28318-BL,Julia
19135-88622-DO,Escondida
73373-4192-JA,Franke
66702-73258-OG,"LM Funding America, Inc."
85971-49880-FJ,"Ellie Mae, Inc."
1797-89726-NB,Yelp Inc.
43573-2053-AA,E*TRADE Financial Corporation
30001-41559-KD,Michilla
20103-245-NG,"Blackhawk Network Holdings, Inc."
5419-13876-AL,Mantos de la Luna
55948-26157-LI,Brookfield Global Listed Infrastructure Income Fund
24493-20196-LO,Pupunahue
16708-88459-JH,"Fiserv, Inc."
99197-89560-JJ,"Commerce Bancshares, Inc."
54312-43095-GB,Mantos Blancos
47192-49017-GA,"Sarepta Therapeutics, Inc."
95067-79519-BO,Elenita
76876-84415-KK,Arlington Asset Investment Corp
74971-22325-NA,Celite - Tana
99836-63420-NG,Mantos Blancos
2082-15305-FO,Haldeman - Sagasca
28948-24809-MJ,La Perla
28008-97745-BM,Sierra Gorda
5850-42522-OG,ACF - Lagunas
10445-18689-GA,Stamps.com Inc.
19-8549-FG,R.R. Donnelley & Sons Company
30030-74684-LJ,"Littelfuse, Inc."
10850-35776-AE,Orbotech Ltd.
5288-89261-II,Fair Isaac Corporation
57797-45004-FF,Refugio
91546-22963-KF,STMicroelectronics N.V.
75508-31878-JM,Drive Shack Inc.
81180-27267-DM,Northern Trust Corporation
5341-22340-NJ,TICC Capital Corp.
84858-86801-ED,"Sarepta Therapeutics, Inc."
58302-59560-EJ,"Sarepta Therapeutics, Inc."
14194-61107-MD,Fertón
25347-20063-DB,La Picarda
39664-98597-MG,Algorta
85833-92095-ON,La Marcelina
97092-81559-GB,Quebrada Blanca
20969-57999-KD,La Perla
44863-71983-LD,"Ocular Therapeutix, Inc."
96031-75836-OL,SQM - Pampa Blanca
58847-57702-IB,Imax Corporation
2861-67618-IO,"HCA Healthcare, Inc."
92317-4557-GD,Limoneira Co
28309-54167-FH,iShares MSCI EM ESG Optimized ETF
52689-52116-IJ,American Homes 4 Rent
26264-90956-IF,Cerro Colorado
17185-89149-DF,Manantial
65453-15137-BA,TICC Capital Corp.
535-90769-OG,Quebrada Blanca
54561-45657-KO,Urstadt Biddle Properties Inc.
56223-31750-NF,Intracampos
39917-70976-IA,Catamutún
77921-7845-EO,Elenita
67518-64712-DE,Clifton Bancorp Inc.
51961-33301-BO,CMP - Romeral
47472-47721-IK,PowerShares KBW High Dividend Yield Financial Portfolio
78868-66702-JK,Los Pelambres
7691-34449-EE,Ojos del Salado
2232-7065-KN,VictoryShares US 500 Enhanced Volatility Wtd ETF
46360-25436-MB,Julia
54727-68146-BN,AbbVie Inc.
50085-49778-IJ,SQM - Pampa Blanca
58648-15924-BG,"SeaChange International, Inc."
55799-36042-FG,Georgia Power Company
83517-29290-AE,Stamps.com Inc.
26573-48371-BE,Quebrada Blanca
39913-80537-JL,STMicroelectronics N.V.
95320-69278-HD,First Trust Nasdaq Retail ETF
91211-68879-GI,Cerro Colorado
208-82195-GK,Cerro Bayo
98713-64045-KI,Don Alberto
73532-57873-BN,Mantos Blancos
40783-67849-BI,Aircastle Limited
43741-90191-BL,Virco Manufacturing Corporation
71589-70908-DO,CVS Health Corporation
22174-73082-DO,ACF - Lagunas
50409-6779-LF,"Argos Therapeutics, Inc."
84366-99117-NL,Manto Verde
92377-6330-KK,Corporate Asset Backed Corp CABCO
53897-25681-JB,Collahuasi
90507-24599-ML,"AMC Entertainment Holdings, Inc."
10630-29556-BA,Kite Realty Group Trust
63650-18381-KM,"National American University Holdings, Inc."
90771-72835-KF,Diageo plc
7708-29395-MA,III de Atacama Kozan
66681-23948-HI,"Spark Energy, Inc."
18923-42562-FA,Drive Shack Inc.
4996-81870-BG,Silicon Motion Technology Corporation
45838-87430-MD,Manto Verde
21302-69034-DG,Cowen Inc.
8945-68488-IH,Schwager
85043-85728-HB,El Toqui
13404-25719-JM,China Cord Blood Corporation
45134-4889-DK,"Commercial Vehicle Group, Inc."
94347-37341-LI,CMP - Boquerón Chañar
58889-67588-FN,Incyte Corporation
82314-73091-GB,Cerro Blanco
99467-30552-BD,"UMH Properties, Inc."
51253-7666-GA,China Cord Blood Corporation
96663-91916-DI,Mantos Blancos
18295-80840-EA,"The Travelers Companies, Inc."
48467-43674-GA,Costamare Inc.
16130-11616-HA,"Midland States Bancorp, Inc."
94747-12866-GF,Silvercrest Asset Management Group Inc.
98616-37238-KJ,"Safe Bulkers, Inc"
25916-17025-KH,Cosayach - Soledad
81770-13367-BB,Guanaco
77225-31464-OI,"Gabelli Equity Trust, Inc. (The)"
5149-65227-HK,Entegra Financial Corp.
18367-68252-LF,SQM - Mapocho
71685-44737-KH,"FTI Consulting, Inc."
93732-26716-KB,Westpac Banking Corporation
97413-29056-AB,"Avon Products, Inc."
82128-79614-OF,Jazz Pharmaceuticals plc
94775-71805-BB,"First Financial Bankshares, Inc."
35520-53864-EK,Cerro Blanco
4313-6410-DB,Colico Sur
7859-62175-IH,Marine Petroleum Trust
42622-6126-AJ,"NextEra Energy, Inc."
63326-47392-IK,Sierra Gorda
68034-85975-GO,Imax Corporation
45724-70556-BE,Zion Oil & Gas Inc
6791-92920-OG,"MasTec, Inc."
63619-49013-IN,E.I. du Pont de Nemours and Company
12792-19854-IA,El Tofo
86914-14915-BF,Lota
11517-98178-LB,Isla Riesco
76621-99404-MM,Pucobre
5673-99938-AM,iPath US Treasury Long Bond Bear ETN
28071-52040-OL,Carvana Co.
16604-86263-JK,Inseego Corp.
11270-38722-NE,"SeaChange International, Inc."
11999-22289-HE,Data Processing
42208-39063-GN,CMP - Los Colorados
54197-44178-FH,Pampa Camarones
41402-16208-DH,Faride
50607-81390-NG,Los Bronces
12591-84952-DL,"FairPoint Communications, Inc."
87988-87099-BK,E.I. du Pont de Nemours and Company
65702-52098-AO,"Sierra Oncology, Inc."
2731-32792-KM,"Edge Therapeutics, Inc."
96118-72553-IN,"Ocular Therapeutix, Inc."
36720-50893-EO,"Xenia Hotels & Resorts, Inc."
35595-27024-GA,Jerónimo
93619-79599-GB,"Under Armour, Inc."
94540-97790-HM,"Dupont Fabros Technology, Inc."
74412-82083-EI,Suncor EnergyInc.
23240-84858-HN,"Recon Technology, Ltd."
80109-2995-JL,Pinatolca
10918-17583-KM,Mantos Blancos
59250-77201-LG,Pirquitas
76846-29930-GO,China Mobile (Hong Kong) Ltd.
62785-97177-HA,Algorta
87397-3579-BJ,Esterline Technologies Corporation
17779-56139-FG,AGCO Corporation
75023-32998-OF,KT Corporation
27590-9436-BA,PowerShares KBW High Dividend Yield Financial Portfolio
37743-35753-AB,Silicon Motion Technology Corporation
51793-19799-DM,Pirquitas
55500-13754-LM,"Rush Enterprises, Inc."
96279-14890-AJ,Las Pataguas
60265-16889-FB,Crawford & Company
32642-19364-BN,United Microelectronics Corporation
72583-46187-JB,Crawford & Company
40484-69940-BK,Fair Isaac Corporation
48350-29816-HG,Bronce de Petorca
14883-32727-KK,"CenterPoint Energy, Inc."
70501-24309-MH,Container Store (The)
63177-50992-HN,Julia
56787-93936-LF,Costamare Inc.
79197-56198-NO,Faride
82286-60196-DF,Celgene Corporation
41418-60764-BB,Brookfield Global Listed Infrastructure Income Fund
