,duración (días),tipo_contenido
7699,45,spam
7700,20,video
7704,55,video
7708,53,spam
7709,65,spam
7717,55,imagenes
7718,74,imagenes
7719,87,spam
7720,82,imagenes
7721,86,spam
7722,53,video
7725,72,imagenes
7726,23,spam
7728,63,imagenes
7731,30,video
7732,5,audio
7733,20,imagenes
7734,43,imagenes
7735,28,audio
7736,21,imagenes
7739,68,audio
7742,89,video
7743,80,spam
7744,46,spam
7745,24,video
7747,41,imagenes
7748,61,imagenes
7750,57,video
7751,2,video
7752,65,imagenes
7755,3,imagenes
7763,55,imagenes
7768,39,spam
7769,74,spam
7770,87,audio
7771,80,audio
7772,15,spam
7773,49,imagenes
7775,86,video
7776,19,audio
7777,60,spam
7779,42,audio
7781,33,video
7782,25,audio
7783,68,spam
7785,61,imagenes
7786,2,spam
7788,32,video
7789,69,imagenes
7790,21,video
7791,14,audio
7794,86,imagenes
7797,52,audio
7803,10,video
7806,20,video
7808,3,audio
7812,81,audio
7814,59,video
7815,47,audio
7817,50,spam
7822,86,video
7824,38,spam
7825,30,video
7827,50,spam
7828,86,audio
7829,15,video
7831,46,audio
7835,71,audio
7836,54,spam
7839,79,imagenes
7840,16,spam
7842,16,video
7843,25,video
7845,41,audio
7848,32,video
7849,19,audio
7851,31,video
7854,63,spam
7858,12,video
7859,35,imagenes
7860,29,video
7861,73,audio
7862,21,video
7865,29,video
7867,30,spam
7871,49,video
7872,17,video
7873,69,video
7877,5,audio
7879,79,spam
7881,56,audio
7882,11,spam
7884,89,imagenes
7886,81,imagenes
7887,83,video
7889,67,imagenes
7890,36,audio
7892,56,spam
7893,23,video
7895,22,video
7897,13,audio
7898,68,imagenes
7900,52,spam
7901,63,video
7902,65,spam
7903,82,video
7905,63,audio
7907,23,video
7908,67,video
7910,21,audio
7911,18,audio
7914,90,imagenes
7916,71,spam
7918,1,spam
7924,60,imagenes
7925,10,video
7928,79,imagenes
7930,80,imagenes
7931,54,video
7933,67,imagenes
7934,79,audio
7935,90,imagenes
7936,43,spam
7937,74,video
7938,42,spam
7940,6,audio
7941,87,audio
7943,15,imagenes
7944,69,imagenes
7945,83,spam
7946,31,imagenes
7947,8,audio
7948,67,audio
7954,65,spam
7957,14,audio
7959,53,audio
7961,83,audio
7962,59,spam
7964,72,video
7966,61,audio
7967,83,spam
7969,56,imagenes
7971,32,video
7975,61,spam
7976,81,spam
7977,64,imagenes
7979,46,imagenes
7981,80,audio
7989,66,video
7991,22,video
7993,84,video
7994,49,video
7995,78,video
7997,2,spam
7998,90,spam
7999,38,imagenes
8001,70,imagenes
8002,42,video
8006,2,video
8011,83,audio
8012,69,spam
8013,54,imagenes
8014,47,imagenes
8017,37,video
8020,41,audio
8021,78,audio
8026,43,imagenes
8027,12,imagenes
8028,73,audio
8029,38,video
8031,11,imagenes
8032,30,audio
8035,20,spam
8039,10,audio
8040,75,spam
8042,81,imagenes
8043,21,video
8048,57,imagenes
8050,9,spam
8052,61,video
8055,85,spam
8060,86,imagenes
8063,28,video
8067,45,video
8069,11,spam
8071,81,imagenes
8072,6,imagenes
8077,80,imagenes
8079,39,spam
8080,67,audio
8082,3,spam
8083,42,video
8084,31,spam
8085,26,spam
8086,35,spam
8087,89,video
8088,41,imagenes
8089,21,spam
8090,82,video
8092,48,video
8096,12,video
8099,68,video
8100,10,imagenes
8101,73,audio
8102,89,imagenes
8104,42,spam
8106,27,audio
8108,82,audio
8110,2,audio
8113,69,imagenes
8115,87,video
8117,17,spam
8120,75,spam
8122,88,video
8124,7,audio
8127,84,imagenes
8128,52,video
8129,21,audio
8133,83,spam
8134,21,audio
8136,14,video
8137,85,audio
8139,21,spam
8142,83,imagenes
8143,31,imagenes
8145,48,imagenes
8148,38,imagenes
8150,20,video
8151,48,video
8152,11,audio
8154,15,audio
8155,77,video
8157,69,imagenes
8159,85,imagenes
8161,48,audio
8162,36,imagenes
8163,25,imagenes
8164,5,spam
8167,22,imagenes
8170,60,spam
8171,11,imagenes
8174,66,video
8175,49,audio
8176,71,video
8178,60,video
8180,31,video
8182,86,imagenes
8184,77,spam
8186,55,imagenes
8189,43,audio
8190,58,audio
8191,27,imagenes
8192,84,audio
8193,1,video
8194,66,spam
8195,4,video
8197,70,spam
8198,73,imagenes
8199,58,spam
8202,84,imagenes
8203,89,imagenes
8204,64,video
8205,6,video
8209,44,imagenes
8211,12,imagenes
8213,21,audio
8216,84,video
8217,1,video
8220,27,audio
8221,82,imagenes
8223,53,audio
8224,29,video
8228,42,audio
8229,58,spam
8234,22,spam
8235,38,spam
8236,62,spam
8237,80,imagenes
8238,71,audio
8239,40,imagenes
8240,42,audio
8241,1,spam
8242,49,audio
8243,29,video
8247,57,imagenes
8248,21,spam
8250,11,spam
8251,14,audio
8252,52,video
8253,90,audio
8254,67,imagenes
8257,70,video
8259,62,audio
8260,20,audio
8265,5,audio
8269,31,spam
8273,20,audio
8278,59,video
8279,87,audio
8281,88,imagenes
8283,72,video
8284,86,imagenes
8286,24,audio
8287,44,video
8288,80,spam
8290,6,video
8291,32,imagenes
8293,21,imagenes
8294,15,video
8295,50,spam
8296,7,spam
8297,5,audio
8298,71,spam
8301,8,audio
8302,29,video
8304,56,video
8305,83,imagenes
8309,17,audio
8310,62,spam
8312,89,spam
8313,33,audio
8314,24,spam
8315,27,imagenes
8317,40,audio
8319,69,audio
8320,69,video
8321,78,video
8322,85,imagenes
8327,33,spam
8329,79,audio
8330,42,video
8331,62,imagenes
8333,31,imagenes
8334,75,spam
8336,37,spam
8337,49,imagenes
8338,45,imagenes
8340,9,imagenes
8341,87,spam
8342,44,video
8344,85,imagenes
8345,3,imagenes
8347,16,spam
8348,46,imagenes
8349,65,spam
8351,13,imagenes
8352,25,video
8353,66,imagenes
8361,27,video
8362,9,video
8364,13,imagenes
8365,86,video
8366,7,video
8368,29,imagenes
8372,69,video
8375,9,video
8376,4,video
8378,60,audio
8384,46,imagenes
8385,78,spam
8386,49,audio
8388,83,audio
8392,11,audio
8395,30,video
8396,83,audio
8397,58,audio
8398,53,spam
8400,77,imagenes
8401,81,video
8402,26,video
8403,83,video
8405,2,video
8406,63,imagenes
8407,58,spam
8409,19,spam
8411,52,spam
8415,36,video
8418,67,video
8422,39,video
8424,34,audio
8425,11,imagenes
8426,46,audio
8427,32,imagenes
8431,22,imagenes
8432,31,audio
8433,54,imagenes
8435,41,spam
8436,65,video
8437,70,audio
8440,43,audio
8443,63,video
8444,23,imagenes
8445,58,spam
8446,34,video
8447,6,video
8448,6,imagenes
8449,17,imagenes
8454,43,video
8456,39,audio
8457,30,imagenes
8459,4,imagenes
8460,89,video
8461,19,imagenes
8466,34,video
8471,75,spam
8472,37,video
8473,60,imagenes
8476,2,imagenes
8477,61,audio
8478,15,spam
8480,58,audio
8481,85,spam
8482,49,imagenes
8483,4,imagenes
8484,23,audio
8485,16,audio
8490,53,spam
8492,51,audio
8494,43,audio
8495,29,imagenes
8497,83,spam
8500,53,video
8502,22,video
8504,66,imagenes
8508,1,spam
8510,17,video
8514,66,video
8515,67,spam
8518,64,video
8523,33,audio
8524,25,spam
8525,1,video
8527,76,audio
8529,75,spam
8530,36,imagenes
8536,59,audio
8540,57,video
8545,34,audio
8548,62,imagenes
8551,74,spam
8557,83,imagenes
8558,29,audio
8562,9,spam
8563,19,imagenes
8565,24,spam
8566,43,video
8568,78,spam
8570,28,video
8571,3,imagenes
8575,57,video
8576,55,spam
8578,84,imagenes
8581,19,video
8585,58,spam
8586,9,spam
8587,46,spam
8590,14,spam
8591,55,spam
8593,26,imagenes
8594,72,audio
8596,64,video
8597,88,video
8604,38,video
8605,52,spam
8606,25,spam
8609,88,spam
8611,43,video
8612,54,imagenes
8616,86,audio
8618,60,spam
8620,53,spam
8622,42,spam
8625,34,imagenes
8629,38,video
8632,29,imagenes
8633,28,spam
8634,79,audio
8635,4,spam
8638,24,video
8642,30,video
8644,71,audio
8645,34,video
8649,6,spam
8651,58,audio
8652,1,imagenes
8653,81,audio
8654,70,audio
8655,27,imagenes
8657,71,video
8658,87,video
8661,81,imagenes
8662,58,imagenes
8665,49,imagenes
8666,52,video
8667,31,audio
8668,59,video
8669,31,audio
8673,56,spam
8674,36,spam
8677,77,spam
8679,37,spam
8682,38,spam
8685,46,video
8686,5,audio
8687,68,audio
8688,85,imagenes
8690,10,video
8691,1,imagenes
8692,23,video
8694,5,imagenes
8696,54,imagenes
8699,49,spam
8702,65,audio
8705,60,spam
8706,71,spam
8709,13,imagenes
8711,38,spam
8715,41,imagenes
8716,34,audio
8722,15,video
8725,34,video
8726,59,audio
8727,27,audio
8730,5,audio
8734,90,audio
8735,28,imagenes
8736,20,video
8737,77,imagenes
8739,53,imagenes
8740,78,imagenes
8741,64,spam
8747,60,audio
8749,43,video
8753,77,imagenes
8754,46,spam
8757,59,audio
8758,36,spam
8764,6,audio
8765,85,imagenes
8768,51,video
8769,22,audio
8770,14,video
8772,68,video
8775,28,imagenes
8779,43,audio
8781,19,audio
8782,6,video
8785,10,video
8786,66,video
8789,12,video
8791,12,imagenes
8792,64,spam
8793,43,video
8794,57,video
8795,35,audio
8797,46,audio
8799,52,spam
8801,16,audio
8803,12,spam
8807,23,audio
8809,9,audio
8810,22,video
8811,76,spam
8812,51,spam
8814,7,audio
8816,75,imagenes
8820,82,spam
8821,29,imagenes
8827,88,imagenes
8828,40,video
8829,52,audio
8832,26,audio
8834,77,audio
8843,84,spam
8844,10,video
8846,77,audio
8847,53,audio
8848,72,audio
8851,51,video
8854,56,imagenes
8855,16,imagenes
8858,8,imagenes
8860,29,imagenes
8861,84,imagenes
8862,23,video
8864,70,spam
8865,10,spam
8867,81,audio
8869,11,audio
8871,13,audio
8872,88,spam
8873,81,audio
8877,54,audio
8879,13,video
8881,9,spam
8883,23,spam
8887,18,imagenes
8889,21,video
8891,24,audio
8893,16,video
8895,52,imagenes
8896,72,video
8897,39,audio
8899,83,audio
8903,9,spam
8904,82,audio
8907,52,audio
8908,64,video
8911,67,audio
8915,66,spam
8918,67,imagenes
8919,85,imagenes
8921,34,spam
8922,22,imagenes
8925,34,video
8926,81,imagenes
8927,29,video
8928,89,spam
8929,88,spam
8930,33,video
8931,44,spam
8936,3,imagenes
8937,75,spam
8938,39,spam
8939,81,audio
8942,68,imagenes
8943,11,audio
8944,39,spam
8945,51,audio
8950,80,video
8952,62,video
8956,82,imagenes
8959,64,spam
8961,90,video
8965,38,imagenes
8971,55,audio
8979,57,imagenes
8980,43,audio
8981,43,imagenes
8984,72,spam
8985,65,imagenes
8987,46,imagenes
8988,6,audio
8989,35,video
8992,1,spam
8994,71,video
8996,44,spam
8997,27,video
8998,7,video
9002,87,audio
9003,7,imagenes
9004,38,imagenes
9006,53,imagenes
9008,61,spam
9009,21,spam
9011,54,audio
9013,41,audio
9015,48,audio
9016,53,audio
9017,71,audio
9019,5,imagenes
9023,65,spam
9024,61,audio
9027,85,audio
9030,2,audio
9031,30,imagenes
9034,85,audio
9038,43,audio
9039,85,audio
9041,22,audio
9042,39,audio
9043,84,audio
9044,82,video
9046,55,audio
9048,55,video
9050,61,audio
9051,68,audio
9052,51,spam
9053,50,audio
9054,16,spam
9056,83,imagenes
9058,84,video
9061,55,audio
9065,30,imagenes
9067,33,spam
9074,6,imagenes
9080,46,imagenes
9082,69,spam
9085,34,video
9088,67,audio
9091,60,video
9092,72,spam
9093,63,video
9094,56,video
9095,57,imagenes
9101,28,spam
9104,23,audio
9105,38,spam
9108,34,spam
9113,19,imagenes
9114,32,spam
9117,65,video
9119,20,spam
9120,2,imagenes
9125,69,video
9126,28,spam
9128,66,video
9129,46,video
9130,88,imagenes
9134,26,audio
9137,23,video
9139,40,imagenes
9140,48,video
9142,39,spam
9143,44,spam
9144,75,video
9145,56,imagenes
9146,21,spam
9148,27,imagenes
9152,52,spam
9156,4,video
9157,61,video
9158,65,video
9159,25,imagenes
9161,71,spam
9164,1,audio
9167,78,audio
9169,24,video
9170,15,spam
9172,62,imagenes
9173,35,spam
9175,84,video
9177,74,imagenes
9179,16,audio
9182,70,audio
9186,88,spam
9187,73,audio
9188,48,audio
9189,17,spam
9192,89,audio
9198,63,video
9199,67,imagenes
9201,42,audio
9202,83,audio
9204,88,imagenes
9205,11,video
9206,24,spam
9213,37,spam
9216,73,spam
9219,71,spam
9220,15,audio
9221,10,imagenes
9222,4,audio
9224,20,spam
9226,8,audio
9227,68,audio
9228,62,imagenes
9229,18,imagenes
9230,18,spam
9231,53,spam
9233,25,spam
9234,63,audio
9235,64,video
9236,86,audio
9238,63,imagenes
9239,31,imagenes
9240,49,imagenes
9242,15,imagenes
9244,14,imagenes
9245,25,audio
9246,68,audio
9247,38,imagenes
9249,16,imagenes
9251,38,imagenes
9253,73,spam
9255,54,imagenes
9257,61,audio
9262,11,video
9263,4,video
9264,7,imagenes
9268,65,video
9270,54,video
9272,67,spam
9273,22,spam
9274,58,spam
9276,3,spam
9277,34,audio
9279,48,spam
9281,51,video
9284,29,video
9285,38,video
9286,16,audio
9287,86,video
9288,15,audio
9291,28,imagenes
9293,37,imagenes
9294,66,video
9295,4,video
9296,87,spam
9299,49,video
9301,1,video
9303,22,audio
9305,18,spam
9307,22,imagenes
9309,26,imagenes
9312,53,imagenes
9314,31,spam
9315,40,imagenes
9319,6,audio
9320,54,video
9321,26,video
9324,74,audio
9327,19,imagenes
9330,22,video
9331,54,audio
9332,59,imagenes
9334,74,audio
9335,59,imagenes
9336,57,imagenes
9337,89,video
9338,54,video
9340,67,spam
9341,25,spam
9342,24,video
9345,50,imagenes
9347,67,video
9348,48,imagenes
9349,25,audio
9353,2,video
9354,24,audio
9357,59,imagenes
9360,25,spam
9362,10,audio
9363,22,audio
9364,90,video
9365,58,imagenes
9367,33,audio
9368,24,spam
9370,76,imagenes
9374,39,imagenes
9375,1,video
9376,68,spam
9380,16,video
9382,88,spam
9384,46,imagenes
9385,85,audio
9388,50,audio
9389,80,spam
9390,75,imagenes
9391,5,spam
9392,84,audio
9393,80,video
9400,28,audio
9403,43,audio
9404,83,spam
9407,14,spam
9412,20,video
9413,77,imagenes
9414,16,audio
9415,21,imagenes
9417,63,spam
9418,61,imagenes
9420,74,spam
9421,32,imagenes
9424,39,audio
9428,90,spam
9429,60,spam
9430,35,audio
9431,39,spam
9437,30,audio
9438,16,imagenes
9442,73,spam
9445,73,audio
9448,15,audio
9454,65,imagenes
9455,75,spam
9456,58,imagenes
9458,25,imagenes
9462,43,imagenes
9463,30,video
9465,62,video
9466,80,video
9467,86,imagenes
9470,31,spam
9475,51,imagenes
9480,38,audio
9483,5,imagenes
9485,55,audio
9488,31,video
9496,28,audio
9498,47,imagenes
9499,68,video
9502,69,imagenes
9504,38,imagenes
9508,62,spam
9510,23,spam
9511,20,video
9514,41,imagenes
9515,12,audio
9518,9,spam
9519,70,video
9520,22,spam
9529,53,video
9531,13,audio
9543,81,video
9544,49,imagenes
9545,54,imagenes
9546,22,video
9547,21,video
9548,63,video
9551,69,video
9557,84,spam
9559,65,video
9560,27,spam
9561,51,video
9565,47,audio
9567,5,spam
9568,82,imagenes
9570,2,audio
9572,20,video
9573,41,video
9574,69,video
9577,17,spam
9579,77,spam
9580,19,video
9581,31,video
9582,8,video
9583,52,spam
9586,23,video
9590,32,video
9592,19,video
9594,53,audio
9596,75,video
9597,48,audio
9598,52,audio
9602,34,audio
9603,72,imagenes
9604,25,spam
9609,62,audio
9610,23,video
9612,34,audio
9614,69,spam
9615,30,spam
9616,26,video
9619,62,imagenes
9621,34,imagenes
9623,13,imagenes
9624,37,audio
9627,72,spam
9629,14,video
9633,34,spam
9634,68,spam
9635,15,video
9636,90,imagenes
9638,85,video
9639,27,imagenes
9640,84,spam
9641,85,audio
9642,79,spam
9647,55,imagenes
9648,28,spam
9649,11,audio
9652,69,imagenes
9656,78,spam
9660,8,video
9661,33,audio
9662,53,imagenes
9668,24,audio
9670,55,imagenes
9671,65,video
9677,28,video
9680,24,spam
9681,34,audio
9682,37,video
9684,66,video
9688,59,audio
9689,41,imagenes
9690,55,spam
9691,52,imagenes
9692,89,audio
9693,12,audio
9695,90,audio
9698,47,audio
9699,87,video
9702,49,audio
9703,21,audio
9704,59,audio
9705,64,video
9707,66,imagenes
9708,1,video
9710,59,spam
9711,15,audio
9712,47,spam
9713,60,imagenes
9714,86,spam
9716,57,video
9718,71,spam
9719,44,video
9723,44,imagenes
9725,9,audio
9726,14,audio
9729,14,spam
9730,82,spam
9731,57,imagenes
9733,79,spam
9734,60,audio
9735,59,spam
9736,65,audio
9737,70,spam
9738,87,video
9739,55,imagenes
9742,68,audio
9746,32,audio
9748,70,video
9751,30,video
9752,56,video
9754,16,imagenes
9760,58,imagenes
9762,83,imagenes
9764,72,spam
9765,24,imagenes
9766,32,spam
9768,22,imagenes
9772,50,video
9776,59,imagenes
9778,15,spam
9780,33,audio
9782,54,video
9783,44,video
9784,51,spam
9785,86,imagenes
9786,52,spam
9789,18,imagenes
9791,20,audio
9792,11,video
9793,73,imagenes
9794,35,spam
9798,24,spam
9799,85,audio
9800,12,video
9801,79,video
9802,30,spam
9806,53,video
9809,47,video
9810,42,spam
9814,35,imagenes
9815,58,video
9817,14,imagenes
9820,72,spam
9821,55,spam
9822,56,video
9824,74,audio
9827,20,spam
9830,33,imagenes
9833,31,spam
9835,87,audio
9838,66,imagenes
9839,13,imagenes
9840,66,video
9842,16,spam
9845,70,video
9848,19,video
9849,80,spam
9851,73,video
9852,46,video
9854,81,audio
9862,57,audio
9863,6,video
9868,75,audio
9871,89,audio
9875,4,spam
9877,11,imagenes
9880,64,audio
9883,28,spam
9887,44,imagenes
9888,36,video
9893,34,imagenes
9894,2,audio
9895,45,imagenes
9898,64,video
9903,25,audio
9904,13,imagenes
9906,58,audio
9912,14,spam
9913,56,imagenes
9915,10,spam
9916,45,video
9918,9,audio
9920,42,audio
9927,82,video
9929,36,imagenes
9930,60,audio
9932,50,imagenes
9934,47,video
9935,25,spam
9936,34,video
9939,73,spam
9942,39,spam
9946,1,spam
9948,82,video
9950,48,spam
9953,71,spam
9954,51,spam
9957,33,video
9959,43,audio
9960,82,video
9965,87,video
9968,47,spam
9969,62,spam
9970,69,video
9971,56,audio
9973,79,imagenes
9974,51,video
9975,5,spam
9981,49,spam
9983,50,video
9985,60,imagenes
9986,13,audio
9989,75,video
9991,66,spam
9992,5,audio
9993,88,video
9994,53,video
9997,33,audio
10001,89,video
10002,69,imagenes
10007,10,audio
10008,60,audio
10009,85,imagenes
10014,85,imagenes
10015,74,video
10016,83,imagenes
10018,9,audio
10019,77,imagenes
10020,78,video
10021,35,imagenes
10022,57,spam
10025,12,spam
10027,7,spam
10030,49,video
10031,26,imagenes
10032,47,imagenes
10033,12,spam
10034,38,audio
10036,38,imagenes
10037,71,imagenes
10041,14,spam
10042,46,video
10045,33,imagenes
10046,7,video
10048,63,imagenes
10049,40,imagenes
10050,9,imagenes
10051,76,video
10052,52,audio
10053,18,video
10055,45,imagenes
10056,18,imagenes
10058,60,video
10060,42,audio
10062,47,audio
10063,41,spam
10065,39,video
10068,27,spam
10074,59,imagenes
10075,46,imagenes
10077,5,audio
10079,71,video
10081,38,imagenes
10084,5,imagenes
10085,32,audio
10087,68,video
10090,51,spam
10092,26,audio
10094,34,imagenes
10095,59,spam
10096,50,imagenes
10098,6,spam
10100,9,imagenes
10101,59,video
10103,66,imagenes
10106,51,video
10107,79,audio
10109,47,video
10111,27,audio
10112,14,spam
10115,64,imagenes
10116,31,imagenes
10118,8,spam
10123,76,spam
10124,55,spam
10126,13,audio
10127,32,imagenes
10130,88,spam
10132,72,spam
10135,66,spam
10137,76,video
10138,87,video
10140,87,imagenes
10143,15,audio
10145,88,imagenes
10148,25,spam
10149,64,spam
10150,42,video
10152,36,spam
10155,14,spam
10160,29,spam
10164,46,imagenes
10165,25,imagenes
10172,3,spam
10173,83,audio
10174,13,spam
10175,22,video
10176,74,video
10178,58,imagenes
10179,74,video
10182,20,imagenes
10183,22,spam
10185,36,imagenes
10190,38,imagenes
10191,56,spam
10196,29,spam
10197,56,audio
10198,28,imagenes
10201,79,audio
10202,5,imagenes
10204,77,video
10205,39,video
10207,8,imagenes
10210,69,imagenes
10211,8,imagenes
10212,7,video
10218,68,spam
10221,19,imagenes
10223,39,spam
10224,77,spam
10228,45,video
10231,64,spam
10234,23,imagenes
10236,82,video
10237,46,spam
10242,82,imagenes
10243,20,imagenes
10248,75,audio
10249,49,imagenes
10251,14,audio
10252,71,video
10255,34,audio
10257,42,spam
10258,53,imagenes
10259,84,spam
10261,34,video
10262,62,spam
10264,63,spam
10265,40,imagenes
10267,70,video
10269,31,audio
10271,81,audio
10273,19,imagenes
10274,8,imagenes
10277,53,imagenes
10278,48,imagenes
10280,10,audio
10281,50,imagenes
10282,90,audio
10283,11,imagenes
10284,78,video
10288,59,video
10292,31,imagenes
10293,86,imagenes
10298,89,video
10303,51,video
10304,14,audio
10305,36,imagenes
10307,9,audio
10309,51,spam
10311,47,audio
10318,44,imagenes
10319,78,spam
10323,70,audio
10324,20,spam
10325,62,video
10327,22,imagenes
10328,61,video
10329,21,video
10331,15,spam
10332,54,imagenes
10333,43,video
10335,6,spam
10337,2,spam
10338,67,spam
10339,24,imagenes
10340,67,video
10341,81,spam
10342,23,video
10345,48,video
10347,46,imagenes
10349,87,imagenes
10354,63,spam
10357,50,spam
10360,43,imagenes
10362,19,video
10368,75,video
10369,53,imagenes
10370,2,imagenes
10371,68,audio
10372,86,audio
10373,40,video
10374,90,spam
10375,72,video
10376,50,imagenes
10379,26,spam
10380,76,imagenes
10382,7,imagenes
10383,60,spam
10384,18,audio
10385,64,video
10386,49,spam
10391,89,audio
10392,22,audio
10395,76,video
10396,88,imagenes
10397,9,spam
10398,73,video
10400,11,video
10403,63,video
10407,35,imagenes
10410,18,video
10411,19,spam
10413,72,video
10414,89,imagenes
10416,18,video
10418,85,spam
10420,29,video
10421,31,imagenes
10424,22,spam
10425,20,spam
10429,52,audio
10431,72,imagenes
10432,83,video
10433,69,spam
10434,45,audio
10438,35,imagenes
10439,27,imagenes
10440,47,spam
10442,29,video
10443,18,imagenes
10445,36,video
10450,45,imagenes
10452,15,video
10453,1,imagenes
10456,56,imagenes
10457,76,imagenes
10458,10,spam
10459,52,spam
10460,79,video
10461,11,spam
10462,47,spam
10465,28,audio
10467,11,spam
10469,83,spam
10477,32,spam
10478,15,audio
10481,6,video
10483,18,spam
10484,36,imagenes
10485,40,audio
10486,43,spam
10487,13,video
10490,53,spam
10492,80,imagenes
10495,59,audio
10497,52,spam
10499,64,spam
10500,62,video
10502,31,imagenes
10503,18,spam
10505,8,spam
10506,83,spam
10510,53,spam
10512,52,video
10513,45,spam
10514,72,audio
10516,6,video
10517,7,video
10518,90,audio
10519,83,video
10522,36,spam
10523,26,imagenes
10524,10,video
10525,26,spam
10526,60,video
10529,70,imagenes
10530,13,audio
10533,64,spam
10535,63,audio
10537,20,spam
10538,1,spam
10539,80,audio
10540,4,audio
10541,84,imagenes
10543,69,audio
10548,17,spam
10549,53,spam
10550,51,imagenes
10551,8,video
10554,16,imagenes
10556,75,spam
10558,41,video
10559,57,audio
10562,56,imagenes
10564,17,spam
10566,21,video
10568,90,spam
10569,69,video
10570,89,audio
10571,88,audio
10575,11,video
10577,31,imagenes
10579,49,video
10580,66,video
10582,45,video
10584,35,audio
10586,14,audio
10587,1,video
10588,32,audio
10589,27,audio
10590,86,spam
10591,35,video
10592,42,imagenes
10596,74,audio
10597,38,video
10599,6,imagenes
10605,64,video
10606,26,imagenes
10608,22,imagenes
10611,35,audio
10612,70,audio
10613,38,audio
10614,70,spam
10618,20,audio
10619,73,imagenes
10620,5,imagenes
10622,35,video
10625,9,video
10629,53,spam
10631,54,imagenes
10634,2,audio
10635,3,audio
10638,4,imagenes
10639,73,video
10641,89,imagenes
10642,19,audio
10643,61,imagenes
10644,84,spam
10646,83,video
10648,69,video
10649,57,spam
10650,9,audio
10653,4,audio
10656,73,video
10659,89,spam
10663,74,video
10664,23,audio
10665,17,video
10666,45,imagenes
10668,68,video
10669,90,imagenes
10670,32,audio
10672,66,audio
10675,84,video
10677,8,spam
10678,40,imagenes
10681,63,video
10686,58,imagenes
10687,1,spam
10688,42,video
10689,75,spam
10690,69,video
10692,25,audio
10693,64,audio
10694,86,video
10696,36,video
10697,71,spam
10698,53,video
10700,84,spam
10701,31,audio
10703,5,spam
10706,74,imagenes
10708,53,imagenes
10709,89,audio
10712,70,spam
10713,4,video
10715,11,imagenes
10719,17,spam
10722,53,video
10723,19,imagenes
10724,25,audio
10726,22,audio
10727,7,imagenes
10728,77,audio
10730,5,imagenes
10731,64,imagenes
10732,7,video
10734,52,video
10735,70,video
10736,73,imagenes
10739,4,audio
10745,15,video
10746,2,audio
10748,44,video
10750,69,video
10752,63,spam
10755,35,imagenes
10759,78,video
10761,65,video
10765,18,imagenes
10767,65,audio
10768,6,video
10770,17,audio
10771,88,imagenes
10772,28,spam
10773,21,audio
10774,32,video
10775,51,imagenes
10776,45,imagenes
10778,12,imagenes
10779,35,video
10783,68,imagenes
10784,21,audio
10787,90,audio
10788,54,audio
10789,81,video
10790,58,audio
10792,46,audio
10793,81,spam
10797,22,imagenes
10799,44,audio
10800,43,imagenes
10803,30,imagenes
10805,24,imagenes
10807,1,spam
10809,84,spam
10810,71,video
10811,68,audio
10813,11,spam
10814,25,spam
10815,73,imagenes
10820,15,video
10822,20,spam
10823,43,video
10824,32,imagenes
10825,31,video
10828,37,spam
10829,50,spam
10830,68,imagenes
10831,78,imagenes
10833,90,imagenes
10835,61,video
10839,66,audio
10841,23,spam
10842,80,audio
10843,24,spam
10844,27,audio
10846,17,audio
10848,14,imagenes
10849,31,video
10850,81,imagenes
10851,64,spam
10853,52,audio
10857,27,video
10859,49,audio
10860,17,audio
10864,74,spam
10865,10,audio
10866,38,imagenes
10869,27,spam
10871,39,imagenes
10873,62,spam
10875,88,video
10876,21,audio
10877,65,spam
10880,56,spam
10881,79,video
10882,75,imagenes
10885,30,audio
10888,72,video
10889,17,video
10890,26,imagenes
10892,19,video
10893,81,audio
10895,40,imagenes
10897,5,imagenes
10898,20,video
10902,23,video
10903,71,spam
10911,40,spam
10912,24,video
10914,52,audio
10915,51,spam
10916,36,spam
10920,6,video
10921,36,spam
10922,66,video
10923,79,video
10925,89,video
10926,9,audio
10927,17,imagenes
10931,89,spam
10932,36,video
10933,75,audio
10934,9,audio
10939,55,audio
10940,24,spam
10941,46,video
10942,29,spam
10943,53,audio
10944,38,audio
10949,73,video
10954,21,audio
10958,8,imagenes
10960,26,spam
10962,89,video
10963,49,audio
10966,58,spam
10970,15,spam
10971,61,audio
10972,46,spam
10976,61,video
10980,59,audio
10981,53,imagenes
10982,47,spam
10986,22,imagenes
10987,2,spam
10988,38,video
10991,33,video
10993,36,spam
10995,51,video
10998,89,audio
11000,54,audio
11001,63,video
11004,61,video
11005,67,imagenes
11007,6,spam
11008,31,video
11011,10,imagenes
11012,1,video
11013,33,spam
11015,71,spam
11016,54,spam
11019,87,video
11022,51,audio
11023,67,spam
11026,11,imagenes
11028,74,audio
11032,62,video
11034,56,imagenes
11036,60,spam
11044,4,audio
11045,77,imagenes
11046,53,audio
11047,36,imagenes
11048,57,audio
11050,47,spam
11051,86,audio
11054,13,video
11055,35,spam
11057,7,imagenes
11060,77,spam
11061,56,spam
11063,54,imagenes
11065,19,imagenes
11067,61,audio
11068,3,audio
11069,29,spam
11070,66,imagenes
11071,20,audio
11074,77,video
11077,44,audio
11078,45,imagenes
11082,83,video
11083,79,video
11084,60,video
11087,89,spam
11089,10,audio
11091,8,spam
11094,17,spam
11096,20,imagenes
11098,70,video
11100,5,imagenes
11102,13,spam
11103,44,imagenes
11106,36,spam
11108,42,video
11111,58,video
11112,85,spam
