mid,presupuesto (US$),fecha
5723,270532,16/12/1995
5724,464443,10/03/2000
5725,743982,06/11/1966
5726,793345,03/02/1989
5727,564507,20/08/2003
5728,657604,18/02/1993
5729,626135,13/10/2003
5730,56262,22/05/2008
5731,790091,23/03/2004
5732,292740,03/02/2018
5733,663869,26/07/2019
5734,945959,10/09/2012
5735,501328,23/12/1977
5736,497496,04/10/1970
5737,841162,20/05/1971
5738,990165,26/03/2013
5739,560365,13/09/2016
5740,443197,18/06/2014
5741,178803,12/09/2002
5742,959225,22/12/2005
5743,210902,19/12/1992
5744,569511,07/01/2018
5745,412246,24/02/2010
5746,31892,10/07/2005
5747,708243,01/04/2011
5748,241288,11/04/2019
5749,465691,14/10/1986
5750,592695,29/04/2017
5751,329043,24/10/2005
5752,377124,23/10/2014
5753,130741,04/11/1981
5754,303352,28/02/1962
5755,212183,28/01/1953
5756,338064,12/11/2018
5757,506624,29/11/1987
5758,474202,07/03/2018
5759,488397,05/05/1975
5760,394787,30/10/2016
5761,134750,03/12/2013
5762,197059,01/05/1986
5763,797760,05/09/2001
5764,789834,16/07/2018
5765,12065,15/10/1976
5766,484738,29/03/2001
5767,212844,04/12/2018
5768,390552,17/02/1985
5769,554041,25/09/2010
5770,953251,27/09/1989
5771,77334,12/12/2016
5772,164578,31/07/1999
5773,850609,28/08/2017
5774,936915,30/07/1999
5775,51717,30/05/1995
5776,412032,05/11/1981
5777,546874,18/05/2018
5778,370976,27/02/2018
5779,455837,08/03/2014
5780,30326,30/07/1991
5781,784437,09/10/1977
5782,35027,30/04/2015
5783,461646,12/01/1971
5784,461354,10/02/2018
5785,791572,14/02/1989
5786,573203,16/06/2011
5787,105196,14/05/1995
5788,931396,08/01/2014
5789,362267,05/03/2013
5790,322101,24/05/2005
5791,634074,21/04/1967
5792,28578,17/09/1986
5793,123360,29/12/1999
5794,991604,13/05/2018
5795,971038,05/08/1974
5796,606817,28/09/1993
5797,852336,05/12/1997
5798,956000,18/10/2003
5799,840682,23/05/1962
5800,515506,01/02/1992
5801,766969,28/02/2018
5802,588316,19/09/2009
5803,556274,12/02/1970
5804,921438,16/09/2000
5805,276235,19/10/2003
5806,596154,07/05/2019
5807,462290,03/07/1974
5808,584963,31/05/1981
5809,852203,06/03/2011
5810,371496,01/05/2017
5811,518663,31/01/2010
5812,877257,04/05/2016
5813,656295,18/08/2019
5814,543457,29/12/2015
5815,494856,23/09/1975
5816,795223,24/03/1972
5817,1862,07/10/1992
5818,179764,14/05/1999
5819,13820,04/07/2001
5820,64782,17/09/1975
5821,335565,18/09/2012
5822,288419,17/08/2006
5823,854904,23/05/2016
5824,455676,24/12/1986
5825,186689,26/11/1998
5826,786612,03/12/2010
5827,223389,15/05/1990
5828,90984,27/06/1996
5829,63516,07/07/2017
5830,316316,05/06/1986
5831,440915,26/07/1994
5832,25633,07/03/2018
5833,599264,03/12/1996
5834,734462,12/02/1996
5835,589558,02/09/1963
5836,198581,24/03/2017
5837,976632,28/08/2011
5838,477293,11/10/2009
5839,68904,15/06/1983
5840,717,27/03/1999
5841,232241,30/05/2011
5842,36899,21/07/2010
5843,980720,11/12/1988
5844,495624,02/09/2015
5845,149799,05/05/1994
5846,754734,04/03/2004
5847,303550,17/12/1997
5848,710888,22/11/2011
5849,164359,25/10/2001
5850,714240,03/08/2009
5851,288143,08/02/2004
5852,485294,17/05/1990
5853,484473,24/02/2019
5854,674286,23/09/2018
5855,954625,09/09/2009
5856,58578,09/08/2016
5857,512330,02/08/2007
5858,954912,01/06/1954
5859,965468,23/01/2017
5860,173179,15/12/1982
5861,469088,03/11/1980
5862,730748,13/06/2002
5863,641992,29/11/1994
5864,634484,09/02/1998
5865,116384,03/07/2005
5866,485369,04/12/2010
5867,32043,13/04/2018
5868,772550,01/04/2003
5869,631645,05/10/1990
5870,225193,20/12/1990
5871,576203,07/05/2017
5872,56620,25/10/2015
5873,896189,26/07/1989
5874,33762,07/07/2008
5875,424426,29/07/2019
5876,475992,17/03/2016
5877,498932,28/10/1985
5878,320729,21/11/1994
5879,744262,13/11/2017
5880,819769,25/06/2016
5881,734157,17/09/2011
5882,768805,02/07/2007
5883,205758,25/06/1970
5884,713750,16/09/1988
5885,738593,14/05/2012
5886,494506,07/11/1972
5887,358483,03/12/2007
5888,821952,23/02/2002
5889,17428,29/10/2015
5890,456030,06/11/2000
5891,300188,19/03/1978
5892,509598,26/08/2006
5893,556740,13/12/2015
5894,450384,02/05/1992
5895,308592,29/10/2008
5896,954912,01/09/1998
5897,630493,16/05/2013
5898,89468,21/04/1969
5899,111503,02/08/2014
5900,819875,06/04/1971
5901,507464,04/05/2017
5902,435685,26/01/1993
5903,895656,06/05/2016
5904,160639,17/10/1999
5905,963611,30/10/1980
5906,163701,10/01/1977
5907,564906,17/03/2006
5908,263295,09/08/2018
5909,707925,31/08/1974
5910,818786,21/10/2011
5911,305770,09/07/1989
5912,140926,09/05/2019
5913,271612,03/12/2000
5914,122022,13/05/2016
5915,138632,18/09/2012
5916,842832,06/09/1996
5917,673192,16/09/1977
5918,886090,04/06/2016
5919,404213,18/08/2015
5920,481881,22/01/2000
5921,661027,03/11/2013
5922,828519,25/02/2013
5923,137123,03/11/2004
5924,851844,21/01/2011
5925,3337,13/07/1982
5926,969273,10/11/2007
5927,163176,04/05/1991
5928,99671,08/07/2004
5929,704174,01/12/2008
5930,276734,08/07/2005
5931,550328,13/09/2015
5932,668417,02/08/2019
5933,979482,24/07/2008
5934,824588,13/11/1990
5935,789495,30/01/1980
5936,207720,09/01/1990
5937,539473,21/06/2010
5938,88904,07/06/1986
5939,166630,15/01/2009
5940,509989,12/04/2003
5941,115898,18/06/2018
5942,330674,19/05/1997
5943,800986,30/10/2014
5944,291561,13/12/2006
5945,228916,19/08/2004
5946,632991,24/02/2014
5947,416272,14/09/1999
5948,534772,15/04/1993
5949,857649,08/03/2014
5950,664653,09/12/1997
5951,380658,30/12/2004
5952,678311,15/08/2018
5953,350306,19/11/2000
5954,32457,27/12/1996
5955,949231,18/12/2013
5956,855444,24/04/2019
5957,118748,07/03/2000
5958,936995,24/01/2017
5959,290733,20/10/2016
5960,766406,08/03/2009
5961,911918,17/09/1994
5962,46235,29/06/1980
5963,471649,18/09/1996
5964,216784,24/09/2017
5965,132389,04/02/2019
5966,886154,16/06/2012
5967,495227,15/07/2019
5968,227706,02/03/2004
5969,631039,27/06/2016
5970,716305,07/07/2018
5971,699821,09/01/1994
5972,646925,27/09/1997
5973,452006,25/04/1993
5974,67355,08/01/1992
5975,121759,19/01/1983
5976,895737,25/03/2002
5977,727751,30/03/2007
5978,469658,05/04/1992
5979,881551,27/01/2007
5980,220454,08/02/1994
5981,449619,24/05/2007
5982,665383,17/10/1999
5983,398184,13/03/2007
5984,429106,17/10/2010
5985,192490,27/01/2017
5986,206929,21/11/2015
5987,636205,18/08/2011
5988,499086,22/08/2013
5989,447766,12/11/1964
5990,427645,13/05/2006
5991,390159,27/03/2014
5992,564613,07/07/1958
5993,80833,23/10/2008
5994,769629,28/08/2016
5995,368305,01/11/2002
5996,278480,01/05/2016
5997,318542,05/05/2012
5998,799527,22/05/2011
5999,291479,06/06/2019
6000,806598,29/01/1973
6001,196862,21/06/2016
6002,985747,10/09/1977
6003,30342,11/10/1990
6004,841387,03/07/1976
6005,521051,04/06/2013
6006,451280,04/02/2019
6007,44265,20/03/2008
6008,272038,16/11/2010
6009,788655,04/03/1980
6010,727573,24/10/1995
6011,870039,24/11/2012
6012,479039,30/04/2017
6013,62353,11/09/1995
6014,590724,15/05/2019
6015,371700,19/06/2019
6016,176236,29/06/2018
6017,850119,17/10/1986
6018,555790,04/09/1955
6019,363979,23/09/2002
6020,24774,17/01/2007
6021,581223,02/12/2007
6022,91485,07/08/2012
6023,109384,19/07/2013
6024,471487,19/02/2014
6025,917053,01/01/1982
6026,383659,30/12/1990
6027,910141,07/05/1994
6028,858575,05/02/1998
6029,157016,14/09/2001
6030,765008,04/11/1997
6031,282568,17/03/2013
6032,70865,04/08/1967
6033,88742,18/10/2008
6034,703882,30/03/1977
6035,631653,03/11/2002
6036,884468,25/06/1969
6037,107195,03/11/2016
6038,376463,19/01/2019
6039,70238,24/04/2003
6040,915533,07/05/2018
6041,990857,25/11/2018
6042,289344,26/06/2015
6043,508662,04/07/1993
6044,293962,26/03/2005
6045,370560,16/04/1980
6046,134746,30/03/1974
6047,994259,17/09/1995
6048,303833,24/08/1990
6049,129254,21/11/1983
6050,532050,22/04/2001
6051,20352,16/11/2010
6052,254367,11/06/2017
6053,793571,16/04/1995
6054,982949,23/11/2017
6055,668030,09/08/2015
6056,502319,26/11/2017
6057,397876,09/02/1992
6058,838964,05/08/1998
6059,415046,02/01/2017
6060,457236,18/07/2015
6061,944504,22/11/1956
6062,603289,16/12/1995
6063,839969,27/06/2011
6064,377276,15/11/1998
6065,619788,05/10/1983
6066,812899,24/11/2017
6067,149116,20/04/2004
6068,138082,03/03/1998
6069,239162,22/09/2018
6070,609605,30/05/1999
6071,623112,19/01/1976
6072,211821,05/03/2019
6073,460602,06/11/1982
6074,387448,12/11/2007
6075,139430,01/01/2019
6076,191466,01/08/2006
6077,562833,26/09/2008
6078,194544,11/05/1991
6079,497696,19/10/1981
6080,849722,13/05/2007
6081,815422,03/09/1979
6082,702270,20/11/2017
6083,167379,09/03/2015
6084,419128,01/01/2008
6085,145770,16/11/2017
6086,583665,16/04/1988
6087,830358,13/02/1969
6088,753446,29/12/2017
6089,869378,23/06/1975
6090,881240,24/11/1997
6091,414409,12/08/2005
6092,30825,29/06/2002
6093,184561,15/05/1975
6094,28441,19/12/1987
6095,97143,02/05/2016
6096,91988,28/07/1995
6097,851585,12/07/2002
6098,971006,02/05/2015
6099,39285,09/04/1975
6100,403442,26/12/2018
6101,699685,16/06/2018
6102,829016,01/09/2017
6103,770527,03/04/1994
6104,411800,30/03/2005
6105,568723,06/11/2000
6106,531678,21/06/1960
6107,505362,29/08/1995
6108,150959,02/01/1999
6109,328706,21/07/2013
6110,676487,27/04/2007
6111,697672,01/12/1971
6112,713530,01/02/1996
6113,211954,09/10/1999
6114,308765,16/09/2010
6115,500246,07/03/2017
6116,954069,15/11/1966
6117,194155,09/12/2009
6118,891319,17/11/2005
6119,538608,22/05/2019
6120,130860,13/12/2008
6121,32013,13/08/1962
6122,897136,03/07/1974
6123,539661,25/06/2017
6124,213004,12/05/1981
6125,814733,04/12/2018
6126,861479,14/12/2016
6127,789710,11/01/1995
6128,473441,16/10/2001
6129,535794,21/01/1996
6130,707836,23/10/2018
6131,965713,28/08/2019
6132,12599,02/11/2002
6133,913317,21/06/1971
6134,111845,29/08/2002
6135,58372,24/01/2013
6136,605780,17/02/2004
6137,392558,29/08/2017
6138,91592,02/03/1998
6139,885144,05/06/2002
6140,445587,28/12/1996
6141,198210,22/01/1973
6142,201158,18/06/2010
6143,804549,03/06/1987
6144,586902,23/10/2005
6145,383735,10/08/2005
6146,458377,13/02/2009
6147,468119,10/08/2001
6148,34471,24/07/2019
6149,624076,04/12/2016
6150,662894,12/03/2014
6151,149321,08/09/2000
6152,427898,29/09/1988
6153,147454,17/05/2015
6154,422330,12/02/1987
6155,770116,04/12/2001
6156,555987,26/08/2014
6157,590266,24/06/1987
6158,154376,19/07/2004
6159,65999,21/10/1972
6160,747918,22/10/2017
6161,919127,01/03/2018
6162,385353,05/05/1993
6163,603461,27/08/2005
6164,662517,30/10/2018
6165,720218,04/06/1980
6166,300539,03/06/2014
6167,914608,09/11/2016
6168,712551,17/06/2013
6169,544565,11/09/1973
6170,822746,23/11/2012
6171,237828,20/10/1990
6172,346619,17/03/2000
6173,784068,30/03/2010
6174,350830,29/12/2002
6175,949959,22/03/2013
6176,79461,06/10/1993
6177,750308,02/04/1988
6178,121090,24/09/2009
6179,100606,05/11/1982
6180,956052,12/09/2011
6181,399086,20/09/1988
6182,254874,02/04/2003
6183,58225,23/09/1998
6184,888630,14/08/1988
6185,305505,16/10/1980
6186,158146,28/11/2011
6187,272298,10/10/2018
6188,755727,18/12/2014
6189,341199,18/10/1995
6190,615543,07/03/1980
6191,432490,08/05/2006
6192,349557,21/09/1962
6193,6895,16/08/1960
6194,619010,12/08/1970
6195,109235,09/11/1973
6196,985353,19/05/2013
6197,125859,27/12/2012
6198,705165,13/12/2000
6199,369610,19/11/1962
6200,269605,21/10/2011
6201,828482,23/11/2012
6202,658697,24/11/1991
6203,162539,30/03/1975
6204,718937,11/09/2008
6205,76978,20/04/1990
6206,850610,08/11/2013
6207,483384,04/11/1998
6208,659480,12/04/2016
6209,349023,25/04/1972
6210,907393,21/02/2014
6211,136494,01/09/2000
6212,589329,07/02/2003
6213,435650,28/08/2012
6214,592255,31/03/2015
6215,751515,21/06/2016
6216,392860,05/12/1995
6217,74019,25/11/2005
6218,435317,15/01/1972
6219,936062,13/11/1985
6220,337637,15/01/1996
6221,581283,14/10/2010
6222,339941,20/12/2016
6223,406432,20/10/1982
6224,847170,20/02/1986
6225,705108,02/05/2019
6226,604735,09/06/2018
6227,574875,16/10/1991
6228,410426,19/09/2008
6229,536516,17/08/1999
6230,378152,17/10/1993
6231,472408,19/03/2010
6232,380663,22/12/1984
6233,880167,02/10/2005
6234,209909,25/07/2003
6235,672058,10/03/1969
6236,672249,02/10/1998
6237,779833,23/06/2012
6238,356844,03/12/2011
6239,758004,15/01/2002
6240,643644,18/10/2007
6241,663425,29/07/1976
6242,3567,28/12/2016
6243,396812,09/05/1985
6244,807133,30/01/2019
6245,316696,03/10/2006
6246,261670,22/06/1986
6247,387267,03/02/1994
6248,764869,16/04/1985
6249,962571,07/10/2011
6250,32694,08/11/2005
6251,999010,24/11/2009
6252,213959,07/02/2004
6253,283170,29/04/2006
6254,39503,07/05/2001
6255,648825,31/01/2003
6256,767517,17/12/2011
6257,832676,25/12/1990
6258,700204,30/12/2010
6259,676686,18/04/2012
6260,929111,25/06/1975
6261,151030,19/07/1977
6262,770132,25/12/2000
6263,539108,03/12/1996
6264,608693,31/03/1968
6265,474747,05/12/1982
6266,125598,15/05/2003
6267,813766,28/04/2018
6268,771873,09/03/2014
6269,270132,25/05/1966
6270,406012,15/08/1972
6271,34603,23/04/2005
6272,539216,02/12/1957
6273,63525,30/08/2005
6274,974335,19/12/2012
6275,858452,03/04/2019
6276,371039,20/02/2019
6277,784965,04/07/1972
6278,330967,25/08/1981
6279,645016,31/12/2018
6280,430809,07/11/2011
6281,551924,27/09/2017
6282,85360,02/06/2015
6283,852558,01/02/1992
6284,769541,15/05/1984
6285,204227,12/09/2002
6286,949767,14/06/1971
6287,136593,22/10/2006
6288,629956,10/05/2017
6289,939480,23/09/2016
6290,657068,05/07/2001
6291,958588,14/10/1995
6292,824277,03/06/2019
6293,170875,20/07/2007
6294,567081,12/03/2016
6295,576607,12/01/2010
6296,522149,30/07/2019
6297,972775,04/09/1957
6298,177656,09/06/2003
6299,233106,05/04/2017
6300,889025,09/02/2018
6301,96605,02/10/2017
6302,209131,12/08/2019
6303,574094,25/06/1986
6304,539878,30/01/2006
6305,10006,26/02/1973
6306,616981,10/01/2012
6307,547421,21/12/1999
6308,269738,12/03/2012
6309,268542,09/04/1996
6310,74854,12/01/1995
6311,849151,21/06/2006
6312,306088,04/04/2018
6313,936369,01/11/2016
6314,590522,29/01/1993
6315,67422,27/08/1987
6316,281326,10/05/2011
6317,740637,23/02/1989
6318,550136,10/12/2006
6319,974911,03/05/2017
6320,299206,26/10/2016
6321,347310,28/09/1967
6322,146551,24/05/2015
6323,215643,07/10/1991
6324,278758,21/04/1994
6325,662654,15/01/2008
6326,79957,23/01/1999
6327,348390,06/08/2004
6328,947683,28/06/1992
6329,923052,31/12/2010
6330,582016,26/01/1969
6331,548025,07/01/1996
6332,255139,13/05/2019
6333,649309,18/01/2016
6334,617325,21/11/1980
6335,58257,12/11/1993
6336,216855,17/01/2002
6337,554427,27/10/1985
6338,508569,29/08/2007
6339,768377,16/02/2000
6340,718189,13/05/1993
6341,804126,22/09/2016
6342,181736,01/07/1976
6343,717415,19/04/2001
6344,268119,01/07/1990
6345,418776,18/02/1964
6346,354441,19/07/2003
6347,682941,20/06/1999
6348,404462,28/06/1994
6349,338078,05/03/1963
6350,546719,08/08/2003
6351,698338,13/01/1982
6352,641543,25/06/1978
6353,251851,04/07/2011
6354,586509,17/12/2016
6355,555318,20/07/1979
6356,336919,12/10/2018
6357,778546,26/07/2004
6358,35031,28/12/2016
6359,708840,31/12/2011
6360,153235,24/10/2012
6361,272951,10/10/2018
6362,133498,07/02/2001
6363,711151,03/01/1988
6364,247150,14/03/2015
6365,271983,05/12/2016
6366,227659,27/06/2018
6367,817526,24/04/1963
6368,361775,01/07/2005
6369,218979,02/05/2019
6370,327747,07/12/2014
6371,382189,11/10/2017
6372,659460,12/06/2010
6373,107650,26/06/1997
6374,76582,16/02/1981
6375,368549,24/09/1999
6376,813756,11/04/1984
6377,831067,26/05/2006
6378,326047,09/07/2004
6379,839628,25/09/2014
6380,670735,16/05/2019
6381,785386,13/06/1996
6382,235747,27/07/2004
6383,36935,13/08/1978
6384,216446,28/10/2018
6385,625805,27/02/2004
6386,185252,25/03/2000
6387,668232,28/08/1994
6388,710585,26/11/2018
6389,972167,11/03/2019
6390,851800,17/02/2013
6391,27855,14/08/2015
6392,354594,02/11/2016
6393,258704,14/04/1982
6394,733251,30/04/2004
6395,355388,04/07/1987
6396,325136,07/08/2006
6397,330253,07/12/2012
6398,373153,13/10/1992
6399,525238,19/06/2006
6400,142591,28/12/2015
6401,917830,05/01/2004
6402,621669,29/08/2010
6403,915141,21/02/1970
6404,962183,20/09/1975
6405,608060,03/02/1970
6406,706907,05/07/1977
6407,835073,10/09/2018
6408,107077,10/06/1973
6409,48687,16/04/1982
6410,85582,26/07/2015
6411,394799,18/12/2013
6412,897945,23/12/2009
6413,540768,18/06/2018
6414,62625,17/06/2019
6415,482123,22/05/1969
6416,21907,11/03/1998
6417,596633,13/08/1980
6418,671836,07/04/2000
6419,484203,01/11/2015
6420,575160,27/03/2004
6421,202394,08/02/2006
6422,266526,14/06/1993
6423,563828,24/05/2003
6424,117883,07/07/2018
6425,220833,01/09/2017
6426,95894,27/04/1972
6427,662246,06/05/2005
6428,502079,31/12/2004
6429,656409,12/05/2013
6430,632031,14/08/2016
6431,708447,18/04/1996
6432,39456,14/10/2014
6433,392364,11/04/2002
6434,507085,01/10/2012
6435,901535,19/04/2005
6436,160573,14/04/1977
6437,217637,13/01/1968
6438,562760,15/11/2008
6439,967106,08/10/2007
6440,407979,22/01/2010
6441,119579,03/08/2016
6442,621011,26/05/2015
6443,684613,02/03/2017
6444,158663,26/07/2000
6445,470570,17/05/2011
6446,632795,24/02/2018
6447,199368,19/03/1997
6448,378204,14/02/2016
6449,162102,15/02/1972
6450,379657,08/06/1988
6451,434451,17/12/2013
6452,4718,01/09/1989
6453,315330,28/05/2018
6454,194252,19/10/2012
6455,531584,26/03/2019
6456,578171,28/07/2016
6457,762015,27/09/1965
6458,503584,25/08/2018
6459,868905,10/05/2012
6460,486998,18/06/2010
6461,385899,01/07/1995
6462,120927,13/12/2012
6463,952499,17/04/1961
6464,131075,14/10/2007
6465,218675,11/09/1988
6466,22625,09/08/2006
6467,907716,07/08/1967
6468,188317,28/10/2015
6469,48493,15/01/2003
6470,380365,22/09/2017
6471,806439,10/08/2002
6472,856029,04/04/2018
6473,441456,22/02/1974
6474,712260,20/05/1983
6475,429730,22/08/1994
6476,300291,26/12/2016
6477,136795,08/07/1991
6478,905174,27/06/2006
6479,882022,19/08/1998
6480,852960,31/12/2017
6481,338780,11/03/1964
6482,2431,15/08/2019
6483,296147,13/06/2010
6484,400891,01/09/1978
6485,48409,31/08/1995
6486,790351,22/05/2003
6487,817361,08/12/1969
6488,299597,16/09/2002
6489,509491,15/08/2013
6490,182148,06/01/2015
6491,916666,12/08/2002
6492,465985,21/08/2018
6493,960351,23/03/2017
6494,134279,15/12/2016
6495,373052,15/03/2015
6496,616016,06/08/2001
6497,632824,13/04/1996
6498,507969,01/11/1992
6499,317779,24/01/2017
6500,464380,20/08/1974
6501,576640,21/05/2018
6502,359172,16/06/1964
6503,942641,19/11/2013
6504,281663,27/03/1969
6505,175351,05/01/1983
6506,772076,31/05/2006
6507,268275,06/09/2013
6508,166706,21/07/2013
6509,84661,14/11/2018
6510,369319,26/03/1997
6511,211284,01/03/2000
6512,243218,15/10/1990
6513,466877,14/02/1984
6514,751267,26/08/2017
6515,386985,13/04/2019
6516,593653,14/03/1975
6517,40601,27/10/2010
6518,358817,07/03/2009
6519,963730,17/09/1990
6520,608350,02/10/2001
6521,200753,16/10/1998
6522,86718,31/12/2006
6523,847336,03/01/1976
6524,811851,09/04/2014
6525,899877,02/02/1985
6526,573291,31/12/1970
6527,623596,30/05/2006
6528,195023,06/06/1986
6529,536159,05/08/2004
6530,730807,24/07/1985
6531,571739,31/07/2006
6532,327938,07/05/1983
6533,675255,15/08/2015
6534,992060,20/05/2012
6535,156073,17/12/2018
6536,60048,05/01/2007
6537,608389,26/04/1992
6538,29463,08/10/2016
6539,605667,23/10/2014
6540,591255,06/01/2002
6541,327948,17/06/2003
6542,604443,26/12/2010
6543,92220,07/04/2012
6544,260736,14/08/2019
6545,711007,26/05/2015
6546,354645,13/03/1982
6547,732689,10/02/2012
6548,252069,02/06/2018
6549,436456,24/12/2003
6550,546449,29/05/2011
6551,137054,12/02/2016
6552,866540,01/06/2013
6553,267531,19/09/2003
6554,424068,24/06/2010
6555,663795,01/06/1997
6556,700894,20/09/2013
6557,672255,15/11/1979
6558,940903,03/10/2006
6559,111819,31/05/2008
6560,633185,07/10/1984
6561,207186,30/10/1993
6562,482706,28/10/2006
6563,938567,01/12/2016
6564,922519,06/01/2019
6565,132105,02/04/1980
6566,355941,07/12/1994
6567,936837,05/02/2014
6568,181355,04/09/2007
6569,237847,25/10/2014
6570,69566,04/04/2019
6571,159107,21/01/1990
6572,603107,16/07/2016
6573,91440,23/04/2009
6574,763842,26/06/2015
6575,849120,28/08/2014
6576,334173,27/01/2017
6577,909415,30/06/2012
6578,44311,01/11/1994
6579,197886,12/09/2017
6580,972327,29/09/2001
6581,612477,22/05/2014
6582,441940,05/03/2004
6583,425147,27/08/2004
6584,347993,13/02/2014
6585,505896,11/08/1994
6586,745973,03/01/1995
6587,273742,02/12/2015
6588,209116,03/05/2016
6589,30687,10/10/1989
6590,895504,26/06/2014
6591,227166,16/09/2017
6592,971031,10/02/2015
6593,218549,30/12/1999
6594,301619,19/09/1962
6595,369409,26/03/1989
6596,544188,21/02/2000
6597,758278,14/10/2002
6598,234792,05/04/2019
6599,427709,21/08/2002
6600,766914,31/07/1995
6601,869823,14/01/2002
6602,125587,19/09/2015
6603,28074,13/12/1980
6604,193491,23/12/2016
6605,511606,02/02/2009
6606,186479,13/12/2010
6607,449533,28/10/2016
6608,793334,31/10/2009
6609,550226,08/08/2006
6610,24393,13/12/1991
6611,30977,28/03/1978
6612,550588,06/02/1987
6613,449747,17/07/1991
6614,676161,03/01/1994
6615,433775,10/04/2008
6616,590406,01/04/2002
6617,783339,16/09/1987
6618,824829,04/07/1980
6619,872927,04/07/2011
6620,271327,09/10/2004
6621,350454,17/09/1997
6622,542508,18/03/2007
6623,568904,08/09/2012
6624,885152,24/11/1997
6625,291259,18/02/2004
6626,413587,25/02/2011
6627,481390,24/08/1988
6628,984455,12/08/1959
6629,258555,25/02/2006
6630,150916,23/05/1989
6631,218899,26/01/1981
6632,963187,08/12/2015
6633,677798,18/06/2019
6634,690974,10/04/2014
6635,925641,18/09/2016
6636,415164,06/07/1995
6637,620500,08/03/2008
6638,201484,15/09/2009
6639,894260,15/06/1964
6640,199744,15/09/2014
6641,122529,29/12/2017
6642,460315,13/08/2010
6643,122193,14/11/1980
6644,276773,24/01/2004
6645,231980,27/11/2004
6646,349475,02/05/1971
6647,61148,26/01/2007
6648,842661,19/06/1980
6649,759809,13/07/2018
6650,833965,22/05/2016
6651,644281,05/08/1999
6652,166719,26/02/2010
6653,8127,05/04/2011
6654,284769,22/07/1965
6655,94672,13/11/2009
6656,322166,05/06/1988
6657,467262,03/09/2007
6658,50855,17/08/2001
6659,134832,10/01/2007
6660,567019,12/02/2010
6661,642486,24/08/2017
6662,649676,09/04/1987
6663,472301,17/03/1997
6664,967048,08/11/2018
6665,747377,19/09/1990
6666,844398,28/05/1981
6667,527006,19/03/2011
6668,647298,03/11/2004
6669,586163,25/11/2017
6670,923063,25/04/1988
6671,119316,26/04/1951
6672,109469,14/04/2019
6673,261982,22/08/2003
6674,383114,27/10/2006
6675,658235,18/03/2014
6676,498137,14/03/2003
6677,402482,31/07/2006
6678,595594,27/09/2003
6679,882415,23/05/1980
6680,612417,27/01/2018
6681,75280,18/07/2005
6682,890066,30/05/2019
6683,423825,28/07/1993
6684,849796,16/03/2011
6685,165684,19/01/2012
6686,526803,17/08/1990
6687,437271,13/03/2007
6688,22902,27/01/1977
6689,156213,29/03/2015
6690,132284,31/07/2009
6691,758397,20/11/1996
6692,572756,12/09/2007
6693,671279,24/07/1999
6694,130850,14/10/2002
6695,656946,09/11/2018
6696,921143,01/01/2016
6697,325681,13/08/1996
6698,506613,19/10/1979
6699,337268,26/08/2009
6700,833778,11/05/2012
6701,715078,04/12/2015
6702,525044,12/06/1995
6703,830116,20/03/2019
6704,412057,03/10/1979
6705,443321,11/04/2006
6706,792975,10/09/2000
6707,962944,20/08/2016
6708,607510,01/07/2008
6709,453428,07/07/1972
6710,319033,07/06/1986
6711,355164,11/10/2004
6712,394885,18/12/2016
6713,368381,18/12/2009
6714,794927,02/01/1999
6715,616544,04/04/1971
6716,504169,01/04/2014
6717,121431,19/08/2019
6718,211695,14/12/2015
6719,560513,30/12/2000
6720,250754,30/07/1997
6721,985558,10/08/1974
6722,301443,29/12/2000
6723,181053,10/02/1986
6724,411311,18/10/2004
6725,968546,19/11/2007
6726,641757,23/07/1959
6727,638689,28/10/2016
6728,806210,09/10/1984
6729,965126,03/09/2011
6730,59031,01/11/2014
6731,215475,12/05/2006
6732,704412,08/04/1990
6733,963542,24/12/1965
6734,371015,03/03/1991
6735,864589,16/03/1965
6736,460285,03/02/1984
6737,810727,27/12/1993
6738,840907,08/11/1987
6739,275848,21/06/2016
6740,86518,07/07/1999
6741,178361,02/04/2017
6742,836496,24/01/2014
6743,560246,12/10/2015
6744,54053,05/07/1987
6745,661724,20/04/2009
6746,875259,05/02/2011
6747,377272,24/04/1984
6748,186521,26/12/1993
6749,754673,23/03/2015
6750,712303,14/10/2002
6751,814388,25/06/2003
6752,951020,10/01/1997
6753,427429,17/08/1986
6754,754600,31/08/2002
6755,459644,25/11/2008
6756,598268,10/03/1990
6757,974814,07/05/2018
6758,725032,16/10/2016
6759,207161,25/10/1980
6760,213276,18/01/1982
6761,591234,10/12/1975
6762,358914,01/08/2015
6763,448901,21/04/2016
6764,97962,14/04/2010
6765,495031,31/12/2018
6766,488681,25/12/1997
6767,529625,12/10/2000
6768,945967,05/01/1991
6769,569332,04/04/2012
6770,965298,24/04/2012
6771,373630,07/11/1980
6772,238171,19/12/1985
6773,382155,26/08/1990
6774,377015,23/08/1988
6775,617337,01/08/1969
6776,606823,16/04/2005
6777,179644,04/07/1998
6778,29307,12/07/2009
6779,517847,28/10/1967
6780,833655,08/05/2001
6781,480905,16/06/2007
6782,551199,08/09/2015
6783,927319,29/12/1987
6784,74677,07/11/1990
6785,299594,24/04/2015
6786,253761,12/08/2018
6787,430595,04/11/1982
6788,688884,20/06/1982
6789,698087,16/12/2002
6790,931553,14/05/2010
6791,767845,21/04/1981
6792,552033,21/01/1968
6793,526909,13/11/1989
6794,265738,30/10/2010
6795,574311,23/03/1993
6796,782458,02/01/2007
6797,402925,20/04/2018
